紹介	しょうかい	shoukai
摘発	てきはつ	tekihatsu
末端	まったん	mattann
童謡	どうよう	douyou
再婚	さいこん	saikonn
海浜	かいひん	kaihinn
御殿	ごてん	gotenn
過敏	かびん	kabinn
戯言	ざれごと|たわこと	zaregoto|tawakoto
撃つ	うつ|ぶつ	utsu|butsu
嘆き	なげき	nageki
輩出	はいしゅつ	haishutsu
撃退	げきたい	gekitai
所為	しょい|せい	shoi|sei
称する	しょうする	shousuru
浸水	しんすい	shinnsui
捕手	ほしゅ|とりて	hoshu|torite
需給	じゅきゅう	jukyuu
撃沈	げきちん	gekichinn
寄稿	きこう	kikou
即決	そっけつ	sokketsu
倒壊	とうかい	toukai
添乗	てんじょう	tennjou
投影	とうえい	touei
突出	とっしゅつ	tosshutsu
肩書き	かたがき	katagaki
発端	ほったん	hottann
隠居	いんきょ	innkyo
人影	ひとかげ	hitokage
露店	ろてん	rotenn
年越し	としこし	toshikoshi
悪戯	いたずら	itazura
渡来	とらい	torai
病床	びょうしょう	byoushou
惨敗	ざんぱい	zannpai
途方	とほう	tohou
触り	さわり|ざわり	sawari|zawari
露骨	ろこつ	rokotsu
突起	とっき	tokki
占有	せんゆう	sennyuu
扇子	せんす	sennsu
樹齢	じゅれい	jurei
面倒くさい	めんどうくさい	menndoukusai
弾性	だんせい	dannsei
鈍い	にぶい|のろい|にびい	nibui|noroi|nibii
香ばしい	こうばしい	koubashii
噴水	ふんすい	funnsui
姓名	せいめい	seimei
両端	りょうたん|りょうはし|りょうはじ	ryoutann|ryouhashi|ryouhaji
脱ぎ	ぬぎ	nugi
巨額	きょがく	kyogaku
刺す	さす	sasu
被る	こうむる|かぶる	koumuru|kaburu
躍進	やくしん	yakushinn
泊まれる	とまれる	tomareru
胴体	どうたい	doutai
脱衣	だつい	datsui
初旬	しょじゅん	shojunn
出稿	しゅっこう	shukkou
勧める	すすめる	susumeru
賞与	しょうよ	shouyo
薄暗い	うすぐらい|うすくらい	usugurai|usukurai
両替	りょうがえ	ryougae
依然	いぜん	izenn
震源	しんげん	shinngenn
隣人	りんじん	rinnjinn
迫害	はくがい	hakugai
告訴	こくそ	kokuso
吹き抜け	ふきぬけ	fukinuke
溶岩	ようがん	yougann
鼓動	こどう	kodou
仮眠	かみん	kaminn
紙芝居	かみしばい	kamishibai
奥義	おうぎ|おくぎ	ougi|okugi
脱税	だつぜい	datsuzei
荒い	あらい	arai
取り替え	とりかえ	torikae
押しつけ	おしつけ	oshitsuke
屈折	くっせつ	kussetsu
本陣	ほんじん	honnjinn
建て替え	たてかえ	tatekae
迎撃	げいげき	geigeki
異端	いたん	itann
大粒	おおつぶ	ootsubu
微量	びりょう	biryou
傾き	かたむき|かたぶき	katamuki|katabuki
攻勢	こうせい	kousei
先駆	せんく	sennku
濁り	にごり	nigori
脱落	だつらく	datsuraku
抗争	こうそう	kousou
舞踏	ぶとう	butou
沈め	しずめ	shizume
浸し	ひたし	hitashi
逆襲	ぎゃくしゅう	gyakushuu
仰る	おっしゃる	ossharu
微笑む	ほおえむ|ほほえむ	hooemu|hohoemu
市況	しきょう	shikyou
触手	しょくしゅ	shokushu
押さえる	おさえる	osaeru
薄毛	うすげ	usuge
皮脂	ひし	hishi
主旨	しゅし	shushi
乗り継ぎ	のりつぎ	noritsugi
摘出	てきしゅつ	tekishutsu
幾何	きか	kika
脱走	だっそう	dassou
突発	とっぱつ	toppatsu
輝か	かがやか	kagayaka
巡査	じゅんさ	junnsa
丹念	たんねん	tannnenn
蓄え	たくわえ	takuwae
採掘	さいくつ	saikutsu
長尾	ちょうび|ながお	choubi|nagao
煮る	にる	niru
対称	たいしょう	taishou
外為	がいため	gaitame
指紋	しもん	shimonn
曇り空	くもりぞら	kumorizora
描画	びょうが	byouga
右肩	みぎかた	migikata
製菓	せいか	seika
乗り込み	のりこみ	norikomi
敷居	しきい	shikii
淡水	たんすい	tannsui
引き渡し	ひきわたし	hikiwatashi
殿様	とのさま	tonosama
脱力	だつりょく	datsuryoku
添える	そえる	soeru
浜辺	はまべ	hamabe
監理	かんり	kannri
突進	とっしん	tosshinn
載る	のる	noru
祈念	きねん	kinenn
釈放	しゃくほう	shakuhou
即効	そっこう	sokkou
希薄	きはく	kihaku
恐れる	おそれる	osoreru
間抜け	まぬけ	manuke
煙突	えんとつ	enntotsu
旧暦	きゅうれき	kyuureki
荒野	あらの|こうや	arano|kouya
憶測	おくそく	okusoku
茶髪	ちゃぱつ	chapatsu
発狂	はっきょう	hakkyou
西暦	せいれき	seireki
眠れる	ねむれる	nemureru
波紋	はもん	hamonn
波及	はきゅう	hakyuu
逃れる	のがれる	nogareru
毛髪	もうはつ	mouhatsu
致死	ちし	chishi
息抜き	いきぬき	ikinuki
壁画	へきが	hekiga
薄型	うすがた	usugata
吹き出し	ふきだし	fukidashi
躍動	やくどう	yakudou
発砲	はっぽう	happou
浮かべる	うかべる	ukaberu
拠出	きょしゅつ	kyoshutsu
尋問	じんもん	jinnmonn
離職	りしょく	rishoku
三脚	さんきゃく	sannkyaku
描ける	えがける|かける	egakeru|kakeru
即興	そっきょう	sokkyou
振れ	ふれ|ぶれ	fure|bure
漁獲	ぎょかく	gyokaku
寝坊	ねぼう	nebou
珍味	ちんみ	chinnmi
踊り子	おどりこ	odoriko
居眠り	いねむり	inemuri
四郎	しろう	shirou
抱負	ほうふ	houfu
弾ける	はじける|ひける	hajikeru|hikeru
誤爆	ごばく	gobaku
桃山	ももやま	momoyama
模範	もはん	mohann
空欄	くうらん	kuurann
社殿	しゃでん	shadenn
失恋	しつれん	shitsurenn
脱水	だっすい	dassui
水沢	すいたく	suitaku
香る	かおる	kaoru
再販	さいはん	saihann
富豪	ふごう	fugou
押印	おういん	ouinn
微小	びしょう	bishou
新鋭	しんえい	shinnei
兼用	けんよう	kennyou
即売	そくばい	sokubai
戯曲	ぎきょく	gikyoku
切り抜き	きりぬき	kirinuki
噴射	ふんしゃ	funnsha
即死	そくし	sokushi
床屋	とこや	tokoya
油脂	ゆし	yushi
盆地	ぼんち	bonnchi
偉人	いじん	ijinn
狩人	かりゅうど	karyuudo
不眠	ふみん	fuminn
隠れる	かくれる	kakureru
語尾	ごび	gobi
突き出し	つきだし|つつきだし	tsukidashi|tsutsukidashi
住み替え	すみかえ	sumikae
交替	こうたい	koutai
盗み	ぬすみ	nusumi
見渡し	みわたし	miwatashi
組み込み	くみこみ	kumikomi
稲作	いなさく	inasaku
差し替え	さしかえ	sashikae
追撃	ついげき	tsuigeki
脱ぐ	ぬぐ	nugu
出遅れ	でおくれ	deokure
端的	たんてき	tannteki
彩色	さいしき	saishiki
抵当	ていとう	teitou
執念	しゅうねん|しゅうね	shuunenn|shuune
拍車	はくしゃ	hakusha
大砲	たいほう	taihou
御用達	ごようたし|ごようたつ	goyoutashi|goyoutatsu
浮く	うく	uku
打ち込み	うちこみ|ぶちこみ	uchikomi|buchikomi
木陰	こかげ	kokage
結露	けつろ	ketsuro
溶剤	ようざい	youzai
石畳	いしだたみ	ishidatami
決闘	けっとう	kettou
吹き替え	ふきかえ	fukikae
儀礼	ぎれい	girei
払込	はらいこみ	haraikomi
入れ替わり	いれかわり	irekawari
微分	びぶん	bibunn
離す	はなす	hanasu
鉄塔	てっとう	tettou
敷設	ふせつ	fusetsu
注釈	ちゅうしゃく	chuushaku
越冬	えっとう	ettou
末尾	まつび	matsubi
砲撃	ほうげき	hougeki
素泊まり	すどまり	sudomari
弾き語り	ひきがたり	hikigatari
騒がせ	さわがせ	sawagase
仰向け	あおむけ	aomuke
乾き	かわき	kawaki
仰天	ぎょうてん	gyoutenn
暗黙	あんもく	annmoku
頼もしい	たのもしい	tanomoshii
押し出し	おしだし	oshidashi
供与	きょうよ	kyouyo
備蓄	びちく	bichiku
鳥獣	ちょうじゅう|とりけだもの	choujuu|torikedamono
奥深い	おくふかい|おくぶかい	okufukai|okubukai
通り抜け	とおりぬけ	toorinuke
惨め	みじめ	mijime
端数	はすう	hasuu
抜歯	ばっし	basshi
広範	こうはん	kouhann
熱烈	ねつれつ	netsuretsu
堅調	けんちょう	kennchou
優越	ゆうえつ	yuuetsu
精鋭	せいえい	seiei
恐る恐る	おそるおそる	osoruosoru
堅実	けんじつ	kennjitsu
耐火	たいか	taika
世襲	せしゅう	seshuu
吐息	といき	toiki
稲刈り	いねかり	inekari
水滴	すいてき	suiteki
戯れ	たわむれ|じゃれ|ざれ	tawamure|jare|zare
繰り出し	くりだし	kuridashi
御座	ぎょざ	gyoza
車載	しゃさい	shasai
沈下	ちんか	chinnka
離陸	りりく	ririku
引き継ぎ	ひきつぎ	hikitsugi
心拍	しんぱく	shinnpaku
打倒	だとう	datou
駆け引き	かけひき	kakehiki
追い越し	おいこし	oikoshi
感嘆	かんたん	kanntann
溶ける	とける	tokeru
手遅れ	ておくれ	teokure
徴兵	ちょうへい	chouhei
更正	こうせい	kousei
縁側	えんがわ	enngawa
固執	こしつ|こしゅう	koshitsu|koshuu
右端	みぎはし|みぎはじ|うたん	migihashi|migihaji|utann
大忙し	おおいそがし	ooisogashi
逃す	にがす|のがす	nigasu|nogasu
乱舞	らんぶ|らっぷ	rannbu|rappu
貴殿	きでん	kidenn
追い込み	おいこみ	oikomi
掘り下げ	ほりさげ	horisage
汗だく	あせだく	asedaku
軒並み	のきなみ	nokinami
汚職	おしょく	oshoku
脱帽	だつぼう	datsubou
傷跡	きずあと	kizuato
奇麗	きれい|ぎれい	kirei|girei
劣等	れっとう	rettou
幾分	いくぶん	ikubunn
冷え込み	ひえこみ	hiekomi
互角	ごかく	gokaku
空振り	からぶり	karaburi
円盤	えんばん	ennbann
腕前	うでまえ	udemae
奇襲	きしゅう	kishuu
着払い	ちゃくばらい	chakubarai
草刈	くさかり	kusakari
抵触	ていしょく	teishoku
腐れ	くされ	kusare
手腕	しゅわん	shuwann
脱皮	だっぴ	dappi
荒らす	あらす	arasu
搬出	はんしゅつ	hannshutsu
詰める	つめる	tsumeru
刺客	しかく|しきゃく|せっかく	shikaku|shikyaku|sekkaku
敬称	けいしょう	keishou
縁結び	えんむすび	ennmusubi
不詳	ふしょう	fushou
冬眠	とうみん	touminn
勝ち越し	かちこし	kachikoshi
戸惑う	とまどう	tomadou
傾ける	かたむける|かたぶける	katamukeru|katabukeru
召し	めし	meshi
掘る	ほる	horu
爆音	ばくおん	bakuonn
跳び	とび	tobi
魚雷	ぎょらい	gyorai
生鮮	せいせん	seisenn
城壁	じょうへき	jouheki
詰合せ	つめあわせ	tsumeawase
汚水	おすい	osui
人為	じんい	jinni
素振り	すぶり|そぶり	suburi|soburi
違憲	いけん	ikenn
頼れる	たよれる	tayoreru
直販	ちょくはん	chokuhann
端っこ	はしっこ|はじっこ	hashikko|hajikko
老齢	ろうれい	rourei
下敷き	したじき	shitajiki
一躍	いちやく	ichiyaku
物販	ぶっぱん	buppann
途絶え	とだえ	todae
拝殿	はいでん	haidenn
里芋	さといも	satoimo
被り	こうむり|かぶり	koumuri|kaburi
弾道	だんどう	danndou
左端	ひだりはし|さたん	hidarihashi|satann
援軍	えんぐん	enngunn
砂丘	さきゅう|しゃきゅう	sakyuu|shakyuu
召集	しょうしゅう	shoushuu
継ぎ	つぎ	tsugi
盗む	ぬすむ	nusumu
積載	せきさい	sekisai
寝起き	ねおき	neoki
祝儀	しゅうぎ	shuugi
与野党	よやとう	yoyatou
微笑ましい	ほほえましい	hohoemashii
目隠し	めかくし	mekakushi
兼任	けんにん	kennninn
隣国	りんごく	rinngoku
雑煮	ぞうに	zouni
突く	つく|づく|つつく	tsuku|duku|tsutsuku
寝床	ねどこ	nedoko
岸壁	がんぺき	gannpeki
短絡	たんらく	tannraku
剣術	けんじゅつ	kennjutsu
婚礼	こんれい	konnrei
沈着	ちんちゃく	chinnchaku
手触り	てざわり	tezawari
縁日	えんにち	ennnichi
目白押し	めじろおし	mejirooshi
草刈り	くさかり	kusakari
腐る	くさる	kusaru
陣内	じんない	jinnnai
進撃	しんげき	shinngeki
捕まる	つかまる	tsukamaru
本稿	ほんこう	honnkou
巨木	きょぼく	kyoboku
叫び声	さけびごえ	sakebigoe
池沼	ちしょう	chishou
称え	たたえ|となえ|かなえ	tatae|tonae|kanae
為す	なす	nasu
煮付け	につけ	nitsuke
寝返り	ねがえり	negaeri
弾み	はずみ	hazumi
凡人	ぼんじん	bonnjinn
越す	こす	kosu
戒め	いましめ	imashime
振り付け	ふりつけ	furitsuke
暇人	ひまじん	himajinn
即刻	そっこく	sokkoku
鈍感	どんかん	donnkann
寝たきり	ねたきり	netakiri
小紋	こもん	komonn
取替え	とりかえ	torikae
駆け込み	かけこみ	kakekomi
嘆く	なげく	nageku
瞬く	またたく|まばたく|しばたたく|しばたく	matataku|mabataku|shibatataku|shibataku
線維	せんい	senni
豪族	ごうぞく	gouzoku
威圧	いあつ	iatsu
押入れ	おしいれ	oshiire
寝言	ねごと	negoto
倒せる	たおせる	taoseru
復縁	ふくえん	fukuenn
坊や	ぼうや	bouya
図柄	ずがら	zugara
更衣	こうい|ころもがえ	koui|koromogae
振り分け	ふりわけ	furiwake
傍観	ぼうかん	boukann
息吹	いぶき	ibuki
甘口	あまくち	amakuchi
見え隠れ	みえかくれ|みえがくれ	miekakure|miegakure
難儀	なんぎ	nanngi
食いしん坊	くいしんぼう|くいしんぼ	kuishinnbou|kuishinnbo
栄誉	えいよ	eiyo
腐り	くさり	kusari
甘酒	あまざけ	amazake
手描き	てがき	tegaki
障壁	しょうへき	shouheki
薄切り	うすぎり	usugiri
役柄	やくがら	yakugara
追突	ついとつ	tsuitotsu
侵食	しんしょく	shinnshoku
被せ	かぶせ	kabuse
被疑	ひぎ	higi
落雷	らくらい	rakurai
血縁	けつえん	ketsuenn
踏襲	とうしゅう	toushuu
心遣い	こころづかい	kokorodukai
恒久	こうきゅう	koukyuu
威厳	いげん	igenn
奥歯	おくば	okuba
冷や汗	ひやあせ	hiyaase
水稲	すいとう	suitou
足腰	あしこし	ashikoshi
割り込み	わりこみ	warikomi
箇条	かじょう	kajou
抗原	こうげん	kougenn
凶暴	きょうぼう	kyoubou
死闘	しとう	shitou
片っ端	かたっぱし	katappashi
奥山	おくやま	okuyama
奥底	おくそこ	okusoko
水溶	すいよう	suiyou
花咲	はなさか	hanasaka
仰せ	おおせ	oose
折込	おりこみ	orikomi
凶器	きょうき	kyouki
刺青	いれずみ|しせい	irezumi|shisei
駆け出し	かけだし	kakedashi
大奥	おおおく	oooku
捕まえる	つかまえる|とらまえる	tsukamaeru|toramaeru
前倒し	まえだおし	maedaoshi
寝ぼけ	ねぼけ	neboke
捕り	とり|どり	tori|dori
招致	しょうち	shouchi
込める	こめる	komeru
狂う	くるう	kuruu
陣痛	じんつう	jinntsuu
繁忙	はんぼう	hannbou
内需	ないじゅ	naiju
服飾	ふくしょく	fukushoku
着脱	ちゃくだつ	chakudatsu
小粒	こつぶ	kotsubu
敷き詰め	しきつめ	shikitsume
気迫	きはく	kihaku
誇張	こちょう	kochou
防腐	ぼうふ	boufu
作為	さくい	sakui
空爆	くうばく	kuubaku
惨事	さんじ	sannji
猛毒	もうどく	moudoku
舌鼓	したつづみ	shitatsudumi
二の腕	にのうで	ninoude
演舞	えんぶ	ennbu
同姓	どうせい	dousei
占う	うらなう|うらのう	uranau|uranou
即席	そくせき	sokuseki
松陰	まつかげ	matsukage
湖沼	こしょう	koshou
行儀	ぎょうぎ	gyougi
引継ぎ	ひきつぎ	hikitsugi
拓く	ひらく	hiraku
稲田	いなだ	inada
額縁	がくぶち	gakubuchi
繰り	くり|ぐり	kuri|guri
元凶	げんきょう	gennkyou
雷雨	らいう	raiu
療育	りょういく	ryouiku
巡視	じゅんし	junnshi
捕食	ほしょく	hoshoku
刀剣	とうけん	toukenn
形跡	けいせき	keiseki
奇形	きけい	kikei
販路	はんろ	hannro
盗作	とうさく	tousaku
詰まる	つまる	tsumaru
未払い	みはらい	miharai
押し上げ	おしあげ	oshiage
仰ぐ	あおぐ	aogu
使途	しと	shito
襲来	しゅうらい	shuurai
網戸	あみど	amido
受け渡し	うけわたし	ukewatashi
威勢	いせい	isei
触発	しょくはつ	shokuhatsu
造影	ぞうえい	zouei
市井	しせい	shisei
輝かしい	かがやかしい	kagayakashii
発汗	はっかん	hakkann
稲妻	いなずま	inazuma
希釈	きしゃく	kishaku
踏み切り	ふみきり	fumikiri
中継ぎ	なかつぎ	nakatsugi
ひき逃げ	ひきにげ	hikinige
恋心	こいごころ	koigokoro
偉業	いぎょう	igyou
気兼ね	きがね	kigane
弾薬	だんやく	dannyaku
凡例	はんれい	hannrei
陰性	いんせい	innsei
般若	はんにゃ	hannnya
輝度	きど	kido
修飾	しゅうしょく	shuushoku
狩場	かりば	kariba
舞子	まいこ	maiko
共闘	きょうとう	kyoutou
金網	かなあみ	kanaami
執務	しつむ	shitsumu
持ち越し	もちこし	mochikoshi
寝顔	ねがお	negao
雅楽	ががく	gagaku
柔術	じゅうじゅつ	juujutsu
乾く	かわく	kawaku
浸る	ひたる	hitaru
薄手	うすで	usude
付き添い	つきそい	tsukisoi
脚光	きゃっこう	kyakkou
余暇	よか	yoka
引っ越す	ひっこす	hikkosu
幾多	いくた	ikuta
御子	みこ	miko
流儀	りゅうぎ	ryuugi
帰途	きと	kito
敷く	しく	shiku
白濁	はくだく	hakudaku
張替え	はりかえ	harikae
監事	かんじ	kannji
汚物	おぶつ	obutsu
渡米	とべい	tobei
散髪	さんぱつ	sannpatsu
幅広	はばひろ|はばびろ	habahiro|hababiro
布陣	ふじん	fujinn
濃密	のうみつ	noumitsu
緯度	いど	ido
触れ合い	ふれあい	fureai
耐用	たいよう	taiyou
誇れる	ほこれる	hokoreru
退陣	たいじん	taijinn
山吹	やまぶき	yamabuki
見越し	みこし	mikoshi
先払い	さきばらい	sakibarai
後尾	こうび	koubi
振るう	ふるう	furuu
狂人	きょうじん	kyoujinn
押収	おうしゅう	oushuu
替り	かわり|がわり	kawari|gawari
南端	なんたん	nanntann
離党	りとう	ritou
見込	みこみ	mikomi
我輩	わがはい	wagahai
遣り	やり	yari
間違う	まちがう|まちごう	machigau|machigou
陣地	じんち	jinnchi
前途	ぜんと	zennto
賦課	ふか	fuka
独り占め	ひとりじめ	hitorijime
優劣	ゆうれつ	yuuretsu
鑑別	かんべつ	kannbetsu
透かし	すかし	sukashi
渡船	とせん	tosenn
薄っぺら	うすっぺら	usuppera
忘却	ぼうきゃく	boukyaku
香味	こうみ	koumi
赤帽	あかぼう	akabou
堅持	けんじ	kennji
衣替え	ころもがえ	koromogae
透視	とうし	toushi
乱闘	らんとう	ranntou
兼務	けんむ	kennmu
背丈	せたけ	setake
沈殿	ちんでん	chinndenn
場違い	ばちがい	bachigai
圏外	けんがい	kenngai
御大	おんたい	onntai
掘り出し	ほりだし	horidashi
物騒	ぶっそう	bussou
皆殺し	みなごろし	minagoroshi
干拓	かんたく	kanntaku
即答	そくとう	sokutou
却って	かえって	kaette
脱字	だつじ	datsuji
継手	つぎて	tsugite
傍点	ぼうてん	boutenn
共振	きょうしん	kyoushinn
襲名	しゅうめい	shuumei
詰め込み	つめこみ	tsumekomi
万歳	ばんざい|まんざい	bannzai|mannzai
豪雪	ごうせつ	gousetsu
近傍	きんぼう	kinnbou
快眠	かいみん	kaiminn
渡り鳥	わたりどり	wataridori
闘志	とうし	toushi
交尾	こうび	koubi
溶かす	とかす	tokasu
強迫	きょうはく	kyouhaku
掘り起こし	ほりおこし	horiokoshi
騒がしい	さわがしい	sawagashii
噴霧	ふんむ	funnmu
煮干	にぼし	niboshi
焼き芋	やきいも	yakiimo
張り替え	はりかえ	harikae
倒木	とうぼく	touboku
頭髪	とうはつ	touhatsu
道幅	みちはば	michihaba
丹精	たんせい	tannsei
甘酸っぱい	あまずっぱい	amazuppai
間柄	あいだがら	aidagara
迷彩	めいさい	meisai
爆走	ばくそう	bakusou
扱える	あつかえる	atsukaeru
折り込み	おりこみ	orikomi
沖合	おきあい	okiai
見舞	みまい	mimai
繰越	くりこし	kurikoshi
黙認	もくにん	mokuninn
奇抜	きばつ	kibatsu
鎖国	さこく	sakoku
惨状	さんじょう	sannjou
本拠	ほんきょ	honnkyo
橋脚	きょうきゃく	kyoukyaku
軽微	けいび	keibi
山芋	やまいも	yamaimo
次項	じこう	jikou
屈し	くっし	kusshi
安眠	あんみん	annminn
西端	せいたん	seitann
足踏み	あしぶみ|あしふみ	ashibumi|ashifumi
手柄	てがら	tegara
玄人	くろうと	kurouto
攻守	こうしゅ	koushu
汚す	けがす|よごす	kegasu|yogosu
弾幕	だんまく	dannmaku
砲台	ほうだい	houdai
奇数	きすう	kisuu
行脚	あんぎゃ	anngya
兼業	けんぎょう	kenngyou
早寝	はやね	hayane
世俗	せぞく	sezoku
陣屋	じんや	jinnya
振付	ふりつけ	furitsuke
突風	とっぷう	toppuu
踏み台	ふみだい	fumidai
荒波	あらなみ	aranami
浸かる	つかる	tsukaru
小幅	こはば	kohaba
差し込み	さしこみ	sashikomi
売り込み	うりこみ	urikomi
身柄	みがら	migara
差し押さえ	さしおさえ	sashiosae
鮮烈	せんれつ	sennretsu
端午	たんご	tanngo
伺える	うかがえる	ukagaeru
損壊	そんかい	sonnkai
避暑	ひしょ	hisho
砲弾	ほうだん	houdann
路肩	ろかた	rokata
万端	ばんたん	banntann
狭し	せまし	semashi
耐力	たいりょく	tairyoku
敗訴	はいそ	haiso
名鑑	めいかん	meikann
甘えん坊	あまえんぼ|あまえんぼう	amaennbo|amaennbou
駆け足	かけあし	kakeashi
脚色	きゃくしょく	kyakushoku
離宮	りきゅう	rikyuu
別姓	べっせい	bessei
釈明	しゃくめい	shakumei
戒名	かいみょう	kaimyou
騒然	そうぜん	souzenn
替え歌	かえうた	kaeuta
恋しい	こいしい	koishii
長髪	ちょうはつ	chouhatsu
駆ける	かける	kakeru
弾む	はずむ	hazumu
突き抜け	つきぬけ	tsukinuke
腕輪	うでわ	udewa
停泊	ていはく	teihaku
野獣	やじゅう	yajuu
拡幅	かくふく	kakufuku
跳躍	ちょうやく	chouyaku
勝訴	しょうそ	shouso
折り畳み	おりたたみ	oritatami
西陣	にしじん	nishijinn
歓送	かんそう	kannsou
雌雄	しゆう	shiyuu
乾物	かんぶつ|ひもの|ほしもの	kannbutsu|himono|hoshimono
確執	かくしつ	kakushitsu
煮詰め	につめ	nitsume
退避	たいひ	taihi
鬼門	きもん	kimonn
劣悪	れつあく	retsuaku
押し花	おしばな	oshibana
先般	せんぱん	sennpann
更地	さらち	sarachi
仕舞い	しまい|じまい	shimai|jimai
美麗	びれい	birei
甘える	あまえる	amaeru
荒し	あらし	arashi
組込み	くみこみ	kumikomi
白壁	しらかべ	shirakabe
狩る	かる	karu
風刺	ふうし	fuushi
気鋭	きえい	kiei
過渡	かと	kato
満杯	まんぱい	mannpai
短剣	たんけん	tannkenn
燃え尽き	もえつき	moetsuki
鎖骨	さこつ	sakotsu
途切れる	とぎれる	togireru
汚損	おそん	osonn
恵方	えほう	ehou
律儀	りちぎ	richigi
被弾	ひだん	hidann
理髪	りはつ	rihatsu
惨劇	さんげき	sanngeki
縁組	えんぐみ	enngumi
家柄	いえがら	iegara
御手洗	みたらし	mitarashi
微熱	びねつ	binetsu
追憶	ついおく	tsuioku
替わる	かわる	kawaru
床の間	とこのま	tokonoma
陰影	いんえい	innei
繰り上げ	くりあげ	kuriage
激闘	げきとう	gekitou
瞬き	またたき|まばたき|しばたたき|しばたき	matataki|mabataki|shibatataki|shibataki
御堂	みどう	midou
体罰	たいばつ	taibatsu
朝霧	あさぎり	asagiri
脈絡	みゃくらく	myakuraku
香典	こうでん	koudenn
軒先	のきさき	nokisaki
振り子	ふりこ	furiko
参与	さんよ	sannyo
歓談	かんだん	kanndann
品薄	しなうす	shinausu
介在	かいざい	kaizai
鋭意	えいい	eii
汚濁	おだく|おじょく	odaku|ojoku
文豪	ぶんごう	bunngou
巻き込み	まきこみ	makikomi
馬刺し	ばさし	basashi
真壁	しんかべ	shinnkabe
添い寝	そいね	soine
切迫	せっぱく	seppaku
会釈	えしゃく	eshaku
失脚	しっきゃく	shikkyaku
猛者	もさ	mosa
悩ましい	なやましい	nayamashii
主砲	しゅほう	shuhou
諸般	しょはん	shohann
暗躍	あんやく	annyaku
振り替え	ふりかえ	furikae
枯葉	かれは	kareha
雷神	らいじん	raijinn
油彩	ゆさい	yusai
すり替え	すりかえ	surikae
言い渡し	いいわたし	iiwatashi
奥の院	おくのいん	okunoinn
箇月	かげつ	kagetsu
一般的	いっぱんてき	ippannteki
高齢者	こうれいしゃ	koureisha
結婚式	けっこんしき	kekkonnshiki
比較的	ひかくてき	hikakuteki
被害者	ひがいしゃ	higaisha
投稿者	とうこうしゃ	toukousha
圧倒的	あっとうてき	attouteki
違和感	いわかん	iwakann
薬剤師	やくざいし	yakuzaishi
朝鮮人	ちょうせんじん	chousennjinn
販売店	はんばいてん	hannbaitenn
連絡先	れんらくさき	rennrakusaki
首都圏	しゅとけん	shutokenn
和菓子	わがし	wagashi
紫外線	しがいせん	shigaisenn
精一杯	せいいっぱい	seiippai
医療費	いりょうひ	iryouhi
皮膚科	ひふか	hifuka
一般人	いっぱんじん	ippannjinn
敷地内	しきちない	shikichinai
漫画家	まんがか	manngaka
信頼性	しんらいせい	shinnraisei
高齢化	こうれいか	koureika
最先端	さいせんたん	saisenntann
無添加	むてんか	mutennka
格闘技	かくとうぎ	kakutougi
御礼	おれい|おんれい	orei|onnrei
耐久性	たいきゅうせい	taikyuusei
継続的	けいぞくてき	keizokuteki
好奇心	こうきしん	koukishinn
同項	どうこう	doukou
微生物	びせいぶつ	biseibutsu
長距離	ちょうきょり	choukyori
活躍中	かつやくちゅう	katsuyakuchuu
戦闘機	せんとうき	senntouki
攻撃力	こうげきりょく	kougekiryoku
影響力	えいきょうりょく	eikyouryoku
吹奏楽	すいそうがく	suisougaku
被保険者	ひほけんしゃ	hihokennsha
腕時計	うでどけい	udedokei
特徴的	とくちょうてき	tokuchouteki
大震災	だいしんさい	daishinnsai
申込書	もうしこみしょ	moushikomisho
後継者	こうけいしゃ	koukeisha
旨味	うまみ	umami
魚介類	ぎょかいるい	gyokairui
途上国	とじょうこく	tojoukoku
応援団	おうえんだん	ouenndann
最高峰	さいこうほう	saikouhou
最優秀	さいゆうしゅう	saiyuushuu
紫色	むらさきいろ	murasakiiro
悪影響	あくえいきょう	akueikyou
販売中	はんばいちゅう	hannbaichuu
添加物	てんかぶつ	tennkabutsu
大地震	だいじしん	daijishinn
加齢	かれい	karei
必需品	ひつじゅひん	hitsujuhinn
婚活	こんかつ	konnkatsu
自販機	じはんき	jihannki
広範囲	こうはんい	kouhanni
接着剤	せっちゃくざい	secchakuzai
乾燥機	かんそうき	kannsouki
遠距離	えんきょり	ennkyori
幾度	いくど	ikudo
量販店	りょうはんてん	ryouhanntenn
被告人	ひこくにん	hikokuninn
洋菓子	ようがし	yougashi
透明感	とうめいかん	toumeikann
河川敷	かせんじき	kasennjiki
致命的	ちめいてき	chimeiteki
交響曲	こうきょうきょく	koukyoukyoku
不透明	ふとうめい	futoumei
後援会	こうえんかい	kouennkai
記入欄	きにゅうらん	kinyuurann
避難所	ひなんじょ	hinannjo
岩盤浴	がんばんよく	gannbannyoku
販売機	はんばいき	hannbaiki
涙目	なみだめ	namidame
寝不足	ねぶそく	nebusoku
日露	にちろ	nichiro
更年期	こうねんき	kounennki
住環境	じゅうかんきょう	juukannkyou
要介護	ようかいご	youkaigo
扇風機	せんぷうき	sennpuuki
吸血鬼	きゅうけつき	kyuuketsuki
本拠地	ほんきょち	honnkyochi
療法士	りょうほうし	ryouhoushi
義援金	ぎえんきん	giennkinn
離乳食	りにゅうしょく	rinyuushoku
年齢層	ねんれいそう	nennreisou
