記事	きじ	kiji
使い	つかい|づかい|つかわい	tsukai|dukai|tsukawai
待つ	まつ	matsu
向かう	むかう	mukau
乗る	のる	noru
進む	すすむ	susumu
美しい	うつくしい	utsukushii
死ぬ	しぬ|じぬ	shinu|jinu
美味しい	おいしい	oishii
全く	まったく	mattaku
目指す	めざす	mezasu
実は	じつは	jitsuha
開く	あく|ひらく|びらく|ぴらく	aku|hiraku|biraku|piraku
始まる	はじまる	hajimaru
安い	やすい|やしい	yasui|yashii
住む	すむ	sumu
起きる	おきる	okiru
有る	ある|はべる	aru|haberu
打つ	うつ|ぶつ	utsu|butsu
決め	きめ|ぎめ	kime|gime
決まる	きまる	kimaru
守る	まもる|もる	mamoru|moru
深い	ふかい|ぶかい|しんい	fukai|bukai|shinni
動き	うごき	ugoki
落ち	おち	ochi
幸せ	しあわせ	shiawase
調べ	しらべ	shirabe
負け	まけ	make
進める	すすめる	susumeru
遊び	あそび|すさび	asobi|susabi
祭り	まつり	matsuri
動く	うごく	ugoku
感じる	かんじる	kannjiru
問合せ	といあわせ	toiawase
勝つ	かつ|がつ|まさつ	katsu|gatsu|masatsu
起こる	おこる	okoru
買い物	かいもの	kaimono
消える	きえる|ぎえる	kieru|gieru
軽い	かるい|けいい|かりい	karui|keii|karii
遊ぶ	あそぶ|すさぶ	asobu|susabu
役立つ	やくだつ	yakudatsu
流す	ながす	nagasu
住まい	すまい|ずまい	sumai|zumai
集め	あつめ	atsume
落とす	おとす	otosu
お待ち	おまち	omachi
申し上げる	もうしあげる	moushiageru
寒い	さむい|さぶい|さみい|さびい	samui|sabui|samii|sabii
開ける	あける|ひらける|はだける	akeru|hirakeru|hadakeru
集まる	あつまる	atsumaru
起こす	おこす	okosu
お客	おきゃく	okyaku
次に	つぎに	tsugini
使える	つかえる	tsukaeru
始まり	はじまり	hajimari
育てる	そだてる	sodateru
暑い	あつい|あちい	atsui|achii
使い方	つかいかた	tsukaikata
子育て	こそだて	kosodate
短い	みじかい	mijikai
返す	かえす|がえす	kaesu|gaesu
始める	はじめる	hajimeru
決して	けっして|けして	kesshite|keshite
重い	おもい	omoi
勝ち	かち|がち	kachi|gachi
定める	さだめる	sadameru
係る	かかる|かかわる	kakaru|kakawaru
登る	のぼる	noboru
取り組み	とりくみ	torikumi
問う	とう	tou
取り組む	とりくむ	torikumu
落ち着く	おちつく	ochitsuku
投げる	なげる	nageru
終える	おえる	oeru
代わり	かわり|がわり	kawari|gawari
お世話	おせわ	osewa
追う	おう	ou
乗り	のり	nori
助け	たすけ|すけ|だすけ	tasuke|suke|dasuke
待ち	まち	machi
悲しい	かなしい|がなしい	kanashii|ganashii
世の中	よのなか	yononaka
死ねる	しねる	shineru
動かす	うごかす	ugokasu
運ぶ	はこぶ	hakobu
幸い	さいわい|ざいわい	saiwai|zaiwai
役に立つ	やくにたつ	yakunitatsu
もう一度	もういちど	mouichido
負う	おう|おぶう	ou|obuu
美味い	うまい	umai
調べる	しらべる	shiraberu
定め	さだめ	sadame
表す	あらわす|ひょうす	arawasu|hyousu
開き	ひらき|びらき|あき|ぴらき	hiraki|biraki|aki|piraki
向こう	むこう	mukou
暗い	くらい|ぐらい	kurai|gurai
仕上げ	しあげ	shiage
お送り	おおくり	ookuri
育つ	そだつ	sodatsu
重ね	かさね|がさね	kasane|gasane
去る	さる|ざる	saru|zaru
想い	おもい	omoi
向き	むき	muki
放つ	はなつ	hanatsu
受け取る	うけとる	uketoru
味わう	あじわう	ajiwau
食べ物	たべもの	tabemono
実に	じつに|まことに|げに	jitsuni|makotoni|geni
受け入れ	うけいれ	ukeire
乗せる	のせる	noseru
有する	ゆうする	yuusuru
植える	うえる	ueru
取り上げ	とりあげ	toriage
仕組み	しくみ	shikumi
向い	むかい|むい	mukai|mui
味わい	あじわい	ajiwai
流れる	ながれる	nagareru
着い	ちゃくい|つい	tyakui|tsui
速い	はやい|ばやい	hayai|bayai
拾う	ひろう|びろう	hirou|birou
着く	つく	tsuku
整う	ととのう	totonou
決める	きめる|ぎめる	kimeru|gimeru
申す	もうす	mousu
意外と	いがいと	igaito
登り	のぼり	nobori
予め	あらかじめ	arakajime
急ぐ	いそぐ	isogu
落ちる	おちる	ochiru
守り	もり|まもり	mori|mamori
消し	けし	keshi
温かい	あたたかい	atatakai
真ん中	まんなか	mannnaka
お子様	おこさま	okosama
助かる	たすかる	tasukaru
生き物	いきもの	ikimono
苦しい	くるしい|ぐるしい	kurushii|gurushii
お礼	おれい	orei
集まり	あつまり	atsumari
問い合せる	といあわせる	toiawaseru
見守る	みまもる	mimamoru
お湯	おゆ	oyu
間取り	まどり	madori
取り入れ	とりいれ	toriire
持てる	もてる	moteru
重なる	かさなる	kasanaru
深める	ふかめる	fukameru
この世	このよ	konoyo
仕入れ	しいれ|しいれれ	shiire|shiirere
曲がる	まがる	magaru
読み取る	よみとる	yomitoru
返る	かえる|がえる	kaeru|gaeru
配る	くばる	kubaru
反する	はんする	hannsuru
注ぐ	そそぐ|つぐ	sosogu|tsugu
取れる	とれる	toreru
消す	けす	kesu
流行る	はやる	hayaru
問い	とい|どい	toi|doi
取り出し	とりだし	toridashi
習う	ならう|なろう	narau|narou
追いかける	おいかける	oikakeru
写る	うつる	utsuru
育ち	そだち	sodachi
苦しむ	くるしむ	kurushimu
負ける	まける	makeru
泳ぐ	およぐ	oyogu
次第に	しだいに	shidaini
打ち合わせ	うちあわせ	uchiawase
有す	ゆうす	yuusu
受け止める	うけとめる	uketomeru
仕立て	したて|じたて	shitate|jitate
気持ちよい	きもちよい	kimochiyoi
前向き	まえむき	maemuki
真っ赤	まっか	makka
仕上がり	しあがり	shiagari
代わる	かわる|がわる	kawaru|gawaru
飲み物	のみもの	nomimono
名乗る	なのる	nanoru
金持ち	かねもち|がねもち	kanemochi|ganemochi
相次ぐ	あいつぐ	aitsugu
悲しみ	かなしみ	kanashimi
二度と	にどと	nidoto
遊べる	あそべる	asoberu
苦しみ	くるしみ	kurushimi
打ち上げる	うちあげる	uchiageru
運び	はこび	hakobi
受け取り	うけとり	uketori
指し	さし|ざし	sashi|zashi
勝てる	かてる	kateru
気持ちいい	きもちいい	kimochiii
指す	さす|ざす	sasu|zasu
引き起こす	ひきおこす	hikiokosu
集める	あつめる	atsumeru
動ける	うごける	ugokeru
打てる	うてる	uteru
着る	きる	kiru
写し	うつし	utsushi
命じる	めいじる	meijiru
面す	めんす	mennsu
持ち主	もちぬし	mochinushi
着ける	つける|づける	tsukeru|dukeru
曲げる	まげる	mageru
発す	はっす	hassu
持ち帰り	もちかえり	mochikaeri
追いつく	おいつく	oitsuku
転がる	ころがる	korogaru
申し出	もうしで	moushide
真っ白	まっしろ	masshiro
温める	あたためる|ぬくめる	atatameru|nukumeru
たどり着く	たどりつく	tadoritsuku
向き合う	むきあう|むきおう	mukiau|mukiou
等しい	ひとしい	hitoshii
育む	はぐくむ	hagukumu
葉っぱ	はっぱ	happa
うつ病	うつびょう	utsubyou
苦い	にがい	nigai
落ち着き	おちつき	ochitsuki
急ぎ	いそぎ	isogi
持ち上げる	もちあげる	mochiageru
やり取り	やりとり	yaritori
問い合わせる	といあわせる	toiawaseru
役立てる	やくだてる	yakudateru
速やか	すみやか	sumiyaka
習い事	ならいごと	naraigoto
助ける	すける|たすける|だすける	sukeru|tasukeru|dasukeru
化す	かす	kasu
受かる	うかる	ukaru
向ける	むける	mukeru
発する	はっする	hassuru
受け入れる	うけいれる	ukeireru
取り消し	とりけし	torikeshi
味わえる	あじわえる	ajiwaeru
見送る	みおくる	miokuru
引き取る	ひきとる	hikitoru
ため息	ためいき	tameiki
題す	だいす	daisu
待ち合わせ	まちあわせ	machiawase
向う	むかう|むこう	mukau|mukou
想う	おもう	omou
集い	つどい|すだい	tsudoi|sudai
早起き	はやおき	hayaoki
取組む	とりくむ	torikumu
物足りない	ものたりない	monotarinai
昔ながら	むかしながら	mukashinagara
終る	おわる	owaru
乗り物	のりもの	norimono
区切る	くぎる	kugiru
仕上がる	しあがる	shiagaru
手持ち	てもち	temochi
着せる	きせる	kiseru
お守り	おもり|おまもり	omori|omamori
動き出す	うごきだす	ugokidasu
追って	おって	otte
重ねる	かさねる	kasaneru
化け	ばけ	bake
仕分け	しわけ	shiwake
入れ歯	いれば	ireba
使い勝手	つかいがって	tsukaigatte
転ぶ	ころぶ|まろぶ	korobu|marobu
和む	なごむ	nagomu
飲める	のめる	nomeru
見送り	みおくり	miokuri
品切れ	しなぎれ	shinagire
仕える	つかえる|づかえる	tsukaeru|dukaeru
お返し	おかえし	okaeshi
手打ち	てうち	teuchi
追い出す	おいだす	oidasu
真に	しんに|まことに	shinnni|makotoni
期す	きす	kisu
真っ直ぐ	まっすぐ	massugu
深まる	ふかまる	fukamaru
練り	ねり	neri
引き受け	ひきうけ	hikiuke
落書き	らくがき	rakugaki
聞き取る	ききとる	kikitoru
見受ける	みうける	miukeru
乗り切る	のりきる	norikiru
消せる	けせる	keseru
転じる	てんじる	tennjiru
次ぐ	つぐ	tsugu
問いかける	といかける	toikakeru
読み返す	よみかえす	yomikaesu
向く	むく	muku
持ち帰る	もちかえる	mochikaeru
整える	ととのえる	totonoeru
表れ	あらわれ	araware
重み	おもみ	omomi
物語る	ものがたる	monogataru
持ち出し	もちだし	mochidashi
次いで	ついで	tsuide
乗り出す	のりだす	noridasu
持ち歩く	もちあるく	mochiaruku
真っ暗	まっくら	makkura
田植え	たうえ	taue
練る	ねる	neru
読み取り	よみとり	yomitori
返せる	かえせる	kaeseru
立ち向かう	たちむかう	tachimukau
取り出す	とりだす	toridasu
出向く	でむく	demuku
送り出す	おくりだす	okuridasu
いた事	いたこと	itakoto
深み	ふかみ	fukami
主として	しゅとして	shutoshite
真っ	まっ	maxtu
真っ黒	まっくろ	makkuro
泳ぎ	およぎ	oyogi
取り外し	とりはずし	torihazushi
使い分け	つかいわけ	tsukaiwake
想い出	おもいで	omoide
集う	つどう	tsudou
真っ先	まっさき	massaki
意味合い	いみあい	imiai
待ち時間	まちじかん	machijikann
区切り	くぎり	kugiri
取り消す	とりけす	torikesu
重たい	おもたい	omotai
一向に	いっこうに	ikkouni
待ち受ける	まちうける	machiukeru
品書き	しながき	shinagaki
乗り場	のりば	noriba
身の回り	みのまわり	minomawari
見習う	みならう|みなろう	minarau|minarou
打ち出し	うちだし	uchidashi
代え	かえ|がえ	kae|gae
安らぎ	やすらぎ	yasuragi
感じ取る	かんじとる	kannjitoru
投じる	とうじる	toujiru
買い取り	かいとり	kaitori
度合い	どあい	doai
お母様	おかあさま	okaasama
旅立つ	たびだつ	tabidatsu
主たる	しゅたる	shutaru
病む	やむ	yamu
終り	おわり	owari
放す	はなす|ほかす|ばなす|ぱなす	hanasu|hokasu|banasu|panasu
宿る	やどる	yadoru
助け合う	たすけあう|たすけおう	tasukeau|tasukeou
乗れる	のれる	noreru
買取る	かいとる	kaitoru
君たち	きみたち	kimitachi
取り合う	とりあう|とりおう	toriau|toriou
和える	あえる	aeru
苦しめる	くるしめる	kurushimeru
乗じる	じょうじる	joujiru
切り取る	きりとる	kiritoru
見習い	みならい	minarai
手助け	てだすけ	tedasuke
使いこなす	つかいこなす	tsukaikonasu
持ち物	もちもの	mochimono
落ち着ける	おちつける	ochitsukeru
起き上がる	おきあがる	okiagaru
対す	たいす	taisu
取り上げる	とりあげる	toriageru
待ち遠しい	まちどおしい	machidooshii
乗っ取る	のっとる	nottoru
温まる	あたたまる|ぬくまる	atatamaru|nukumaru
旅立ち	たびだち	tabidachi
定か	さだか	sadaka
乗り入れ	のりいれ	noriire
打合せ	うちあわせ	uchiawase
飲み屋	のみや	nomiya
読み物	よみもの	yomimono
見落とす	みおとす	miotosu
進め方	すすめかた	susumekata
長持ち	ながもち	nagamochi
打ち切り	うちきり	uchikiri
決め手	きめて	kimete
仕切り	しきり|じきり	shikiri|jikiri
申し入れ	もうしいれ	moushiire
仕出し	しだし	shidashi
仕切る	しきる	shikiru
開き直る	ひらきなおる	hirakinaoru
横たわる	よこたわる	yokotawaru
委ねる	ゆだねる	yudaneru
ひっくり返す	ひっくりかえす	hikkurikaesu
受取る	うけとる	uketoru
落ち葉	おちば	ochiba
持ち合わせ	もちあわせ	mochiawase
横切る	よこぎる	yokogiru
平ら	たいら|だいら	taira|daira
立ち去る	たちさる	tachisaru
名乗り	なのり	nanori
温もり	ぬくもり	nukumori
使い道	つかいみち	tsukaimichi
落とせる	おとせる	otoseru
山登り	やまのぼり	yamanobori
申し立て	もうしたて	moushitate
仕上げる	しあげる	shiageru
係わる	かかわる	kakawaru
神さま	かみさま	kamisama
根強い	ねづよい	neduyoi
勝る	まさる	masaru
転がす	ころがす	korogasu
世に	よに	yoni
軽やか	かろやか|かるやか	karoyaka|karuyaka
取り入れる	とりいれる	toriireru
実る	みのる	minoru
追っかけ	おっかけ	okkake
取り直す	とりなおす	torinaosu
切り開く	きりひらく	kirihiraku
実り	みのり	minori
投げ出す	なげだす	nagedasu
着こなし	きこなし	kikonashi
取消し	とりけし	torikeshi
取りあえず	とりあえず	toriaezu
歯ごたえ	はごたえ	hagotae
お化け	おばけ	obake
待たす	またす	matasu
勝ち取る	かちとる	kachitoru
祭る	まつる	matsuru
見苦しい	みぐるしい	migurushii
買い取る	かいとる	kaitoru
持ち運び	もちはこび	mochihakobi
定まる	さだまる	sadamaru
引き返し	ひきかえし	hikikaeshi
投げかける	なげかける	nagekakeru
住める	すめる	sumeru
手放し	てばなし	tebanashi
上乗せ	うわのせ	uwanose
取りまとめ	とりまとめ	torimatome
表わす	あらわす	arawasu
命ずる	めいずる	meizuru
切れ味	きれあじ	kireaji
化け物	ばけもの	bakemono
持ち出す	もちだす	mochidasu
お決まり	おきまり	okimari
足取り	あしとり|あしどり	ashitori|ashidori
持ち味	もちあじ	mochiaji
先取り	さきどり	sakidori
落し	おとし	otoshi
先送り	さきおくり	sakiokuri
あの世	あのよ	anoyo
根っこ	ねっこ	nekko
配し	はいし	haishi
動き回る	うごきまわる	ugokimawaru
使い切る	つかいきる	tsukaikiru
投げつける	なげつける	nagetsukeru
かき氷	かきごおり	kakigoori
研ぐ	とぐ	togu
写り	うつり	utsuri
負け犬	まけいぬ	makeinu
木の実	このみ|きのみ	konomi|kinomi
遊び心	あそびごころ	asobigokoro
遊び場	あそびば	asobiba
取り返し	とりかえし	torikaeshi
和やか	なごやか|にこやか	nagoyaka|nikoyaka
気配り	きくばり	kikubari
見返し	みかえし	mikaeshi
絵の具	えのぐ	enogu
思い起こす	おもいおこす	omoiokosu
身動き	みうごき	miugoki
起る	おこる	okoru
写す	うつす	utsusu
生き返る	いきかえる	ikikaeru
根ざす	ねざす	nezasu
お花畑	おはなばたけ	ohanabatake
対する	たいする	taisuru
気取る	きどる|けどる	kidoru|kedoru
聞き流す	ききながす	kikinagasu
和らげる	やわらげる	yawarageru
見返り	みかえり	mikaeri
追いやる	おいやる	oiyaru
食い物	くいもの	kuimono
重んじる	おもんじる	omonnjiru
言い放つ	いいはなつ	iihanatsu
指さす	ゆびさす	yubisasu
切り落とす	きりおとす	kiriotosu
安っぽい	やすっぽい	yasuppoi
味わい深い	あじわいぶかい	ajiwaibukai
手放す	てばなす	tebanasu
死す	しす	shisu
向かい合う	むかいあう|むかいおう	mukaiau|mukaiou
泳げる	およげる	oyogeru
真っ青	まっさお	massao
係り	かかり|かかわり|がかり	kakari|kakawari|gakari
見開く	みひらく	mihiraku
乗っかる	のっかる	nokkaru
助っ人	すけっと	suketto
木の葉	このは	konoha
放る	ほうる|ひる|ぽる	houru|hiru|poru
使いこなせる	つかいこなせる	tsukaikonaseru
箱入り	はこいり	hakoiri
打ち明ける	うちあける	uchiakeru
決めつける	きめつける	kimetsukeru
ごま油	ごまあぶら	gomaabura
思い返す	おもいかえす	omoikaesu
打ち切る	うちきる	uchikiru
安らか	やすらか	yasuraka
申し分	もうしぶん	moushibunn
歯止め	はどめ	hadome
受けとめる	うけとめる	uketomeru
全う	まっとう	mattou
売り物	うりもの	urimono
行き着く	いきつく|ゆきつく	ikitsuku|yukitsuku
手っ取り早い	てっとりばやい	tettoribayai
気取り	きどり|けどり	kidori|kedori
放り出す	ほうりだす|ひりだす	houridasu|hiridasu
安売り	やすうり	yasuuri
申しあげる	もうしあげる	moushiageru
送れる	おくれる	okureru
集る	たかる|だかる|あつまる	takaru|dakaru|atsumaru
消え去る	きえさる	kiesaru
水遊び	みずあそび	mizuasobi
息苦しい	いきぐるしい	ikigurushii
表向き	おもてむき	omotemuki
見開き	みひらき	mihiraki
引き返す	ひきかえす	hikikaesu
打ち出す	うちだす	uchidasu
子持ち	こもち	komochi
手取り	てどり|てとり|てっとり	tedori|tetori|tettori
ひっくり返る	ひっくりかえる	hikkurikaeru
心温まる	こころあたたまる	kokoroatatamaru
受け皿	うけざら	ukezara
ひな祭り	ひなまつり	hinamatsuri
まな板	まないた	manaita
相まって	あいまって	aimatte
秋祭り	あきまつり	akimatsuri
皮切り	かわきり	kawakiri
追い風	おいかぜ	oikaze
引き受ける	ひきうける	hikiukeru
取り調べる	とりしらべる	torishiraberu
起し	おこし|きし	okoshi|kishi
注意深い	ちゅういぶかい	tyuuibukai
使い物	つかいもの	tsukaimono
短め	みじかめ	mijikame
ぬるま湯	ぬるまゆ	nurumayu
上向き	うわむき	uwamuki
命がけ	いのちがけ	inochigake
息づく	いきづく	ikiduku
身代わり	みがわり	migawari
下取り	したどり	shitadori
流れ星	ながれぼし	nagareboshi
草の根	くさのね	kusanone
心待ち	こころまち	kokoromachi
後ろ向き	うしろむき	ushiromuki
温かみ	あたたかみ	atatakami
ご時世	ごじせい	gojisei
持ちかける	もちかける	mochikakeru
決す	けっす	kessu
住まう	すまう|ずまう	sumau|zumau
取り合い	とりあい	toriai
和らぐ	やわらぐ	yawaragu
真っ向	まっこう	makkou
引き出物	ひきでもの	hikidemono
手放せる	てばなせる	tebanaseru
取っ手	とって	totte
悲しむ	かなしむ	kanashimu
遊び方	あそびかた	asobikata
受入れ	うけいれ	ukeire
持ち上がる	もちあがる	mochiagaru
息切れ	いきぎれ	ikigire
追いつめる	おいつめる	oitsumeru
下り坂	くだりざか	kudarizaka
取り引き	とりひき	torihiki
取り立て	とりたて	toritate
手の平	てのひら	tenohira
物言い	ものいい|ものゆい	monoii|monoyui
感ずる	かんずる	kannzuru
悪しい	あしい	ashii
大根おろし	だいこんおろし	daikonnoroshi
守れる	まもれる	mamoreru
言い返す	いいかえす	iikaesu
曲る	まがる	magaru
宿す	しゅくす|やどす	shukusu|yadosu
流れ出る	ながれでる	nagarederu
勝ち負け	かちまけ	kachimake
発つ	たつ	tatsu
平たい	ひらたい	hiratai
練り歩く	ねりあるく	neriaruku
世にも	よにも	yonimo
取り組める	とりくめる	torikumeru
手間取る	てまどる	temadoru
重ね合う	かさねあう|かさねおう	kasaneau|kasaneou
商い	あきない	akinai
追いつける	おいつける	oitsukeru
度重なる	たびかさなる	tabikasanaru
たどり着ける	たどりつける	tadoritsukeru
ひと味	ひとあじ	hitoaji
乗り切れる	のりきれる	norikireru
お次	おつぎ	otsugi
走り去る	はしりさる	hashirisaru
聞き返す	ききかえす	kikikaesu
持ち直す	もちなおす	mochinaosu
見放す	みはなす	mihanasu
引き落とし	ひきおとし	hikiotoshi
お開き	おひらき	ohiraki
反り	そり|ぞり	sori|zori
波乗り	なみのり	naminori
使い手	つかいて	tsukaite
お日様	おひさま	ohisama
使い分ける	つかいわける	tsukaiwakeru
仕打ち	しうち	shiuchi
住み着く	すみつく	sumitsuku
打ち消す	うちけす	uchikesu
動じる	どうじる	doujiru
見向く	みむく	mimuku
切り返し	きりかえし	kirikaeshi
安上がり	やすあがり	yasuagari
酒飲み	さけのみ	sakenomi
取り決め	とりきめ	torikime
横ばい	よこばい	yokobai
運べる	はこべる	hakoberu
お茶屋	おちゃや	otyaya
草取り	くさとり	kusatori
起こせる	おこせる	okoseru
打ち合う	うちあう|うちおう	uchiau|uchiou
山の幸	やまのさち	yamanosachi
面白み	おもしろみ	omoshiromi
真っ当	まっとう	mattou
代り	かわり|がわり	kawari|gawari
茶の湯	ちゃのゆ	tyanoyu
お受け取り	おうけとり	ouketori
流れ出す	ながれだす	nagaredasu
仕返し	しかえし	shikaeshi
仕組む	しくむ	shikumu
面持ち	おももち	omomochi
むし歯	むしば	mushiba
落ちつく	おちつく	ochitsuku
受け持つ	うけもつ	ukemotsu
湯たんぽ	ゆたんぽ	yutannpo
仕入れる	しいれる	shiireru
取り返す	とりかえす	torikaesu
落す	おとす	otosu
くり返し	くりかえし	kurikaeshi
川遊び	かわあそび	kawaasobi
安らぐ	やすらぐ	yasuragu
追い上げ	おいあげ	oiage
登れる	のぼれる	noboreru
真新しい	まあたらしい	maatarashii
暑苦しい	あつくるしい	atsukurushii
向き直る	むきなおる	mukinaoru
一番乗り	いちばんのり	ichibannnori
持ち前	もちまえ	mochimae
っ放し	っぱなし	ppanashi
乗っける	のっける	nokkeru
申し受ける	もうしうける	moushiukeru
横向き	よこむき	yokomuki
切り取り	きりとり	kiritori
名指し	なざし	nazashi
取調べ	とりしらべ	torishirabe
取りかかる	とりかかる	torikakaru
取り下げ	とりさげ	torisage
決する	けっする	kessuru
飲ます	のます	nomasu
落ちこぼれ	おちこぼれ	ochikobore
切り身	きりみ	kirimi
打ち勝つ	うちかつ	uchikatsu
風向き	かざむき|かぜむき	kazamuki|kazemuki
急きょ	きゅうきょ	kyuukyo
面する	めんする	mennsuru
間仕切り	まじきり	majikiri
受け取れる	うけとれる	uketoreru
顔負け	かおまけ	kaomake
題する	だいする	daisuru
起す	おこす|きす	okosu|kisu
送り火	おくりび	okuribi
平らげる	たいらげる	tairageru
下調べ	したしらべ	shitashirabe
泳がせる	およがせる	oyogaseru
下向き	したむき	shitamuki
皮ふ	ひふ	hifu
出し物	だしもの	dashimono
大急ぎ	おおいそぎ	ooisogi
取りやめ	とりやめ	toriyame
重苦しい	おもくるしい	omokurushii
申しわけ	もうしわけ	moushiwake
拾い上げる	ひろいあげる	hiroiageru
わが身	わがみ	wagami
重なり合う	かさなりあう|かさなりおう	kasanariau|kasanariou
山の神	やまのかみ	yamanokami
転び	ころび|まろび	korobi|marobi
入れ物	いれもの	iremono
指せる	させる	saseru
横取り	よこどり	yokodori
ほろ苦い	ほろにがい	horonigai
受け身	うけみ	ukemi
かき集める	かきあつめる	kakiatsumeru
野放し	のばなし	nobanashi
取り去る	とりさる	torisaru
根こそぎ	ねこそぎ	nekosogi
待ちかねる	まちかねる	machikaneru
身の上	みのうえ	minoue
表れる	あらわれる	arawareru
身だしなみ	みだしなみ	midashinami
日持ち	ひもち	himochi
心苦しい	こころぐるしい	kokorogurushii
年取る	としとる	toshitoru
ふき取る	ふきとる	fukitoru
歯切れ	はぎれ	hagire
表せる	あらわせる	arawaseru
うま味	うまみ	umami
死にかける	しにかける	shinikakeru
受け手	うけて	ukete
取り出せる	とりだせる	toridaseru
受け流す	うけながす	ukenagasu
湯けむり	ゆけむり	yukemuri
見て取る	みてとる	mitetoru
根っから	ねっから	nekkara
暗に	あんに	annni
反る	そる|ぞる	soru|zoru
夜遊び	よあそび	yoasobi
三つ葉	みつば	mitsuba
向かい風	むかいかぜ	mukaikaze
お幸せ	おしあわせ	oshiawase
受け売り	うけうり	ukeuri
歯ぐき	はぐき	haguki
大金持ち	おおがねもち	ooganemochi
負かす	まかす	makasu
待ちわびる	まちわびる	machiwabiru
お祭	おまつり	omatsuri
手始め	てはじめ	tehajime
波打つ	なみうつ	namiutsu
取り外す	とりはずす	torihazusu
苦み	にがみ	nigami
しょう油	しょうゆ	shouyu
曲がり角	まがりかど	magarikado
二の次	にのつぎ	ninotsugi
立ち返る	たちかえる	tachikaeru
よじ登る	よじのぼる	yojinoboru
読み取れる	よみとれる	yomitoreru
心持ち	こころもち	kokoromochi
思い出深い	おもいでぶかい	omoidebukai
落つ	おつ	otsu
配す	はいす	haisu
血まみれ	ちまみれ	chimamire
発がん	はつがん	hatsugann
取り急ぎ	とりいそぎ	toriisogi
受け答え	うけこたえ	ukekotae
船乗り	ふなのり	funanori
育て上げる	そだてあげる	sodateageru
太刀打ち	たちうち	tachiuchi
問いただす	といただす	toitadasu
乗り気	のりき	noriki
ごった返す	ごったがえす	gottagaesu
化ける	ばける	bakeru
湯の花	ゆのはな	yunohana
飲み食い	のみくい	nomikui
感じとる	かんじとる	kannjitoru
雨宿り	あまやどり	amayadori
送り先	おくりさき	okurisaki
考え事	かんがえごと	kanngaegoto
かき消す	かきけす	kakikesu
お宮	おみや	omiya
ごみ箱	ごみばこ	gomibako
和気あいあい	わきあいあい	wakiaiai
心配り	こころくばり	kokorokubari
落ちぶれる	おちぶれる	ochibureru
力持ち	ちからもち	chikaramochi
温い	ぬくい|ぬるい|ぬきい|ぬりい	nukui|nurui|nukii|nurii
運び出す	はこびだす	hakobidasu
歯みがき	はみがき	hamigaki
落ち度	おちど	ochido
取り合わせ	とりあわせ	toriawase
申し出る	もうしでる	moushideru
身なり	みなり	minari
持ちこたえる	もちこたえる	mochikotaeru
悪しからず	あしからず	ashikarazu
駅前通り	えきまえどおり	ekimaedoori
もぎ取る	もぎとる	mogitoru
取り次ぎ	とりつぎ	toritsugi
練り上げる	ねりあげる	neriageru
送り返す	おくりかえす	okurikaesu
血の気	ちのけ	chinoke
湯のみ	ゆのみ	yunomi
安め	やすめ	yasume
山開き	やまびらき	yamabiraki
持たす	もたす	motasu
追い返す	おいかえす	oikaesu
話し相手	はなしあいて	hanashiaite
すり身	すりみ	surimi
暗がり	くらがり	kuragari
守り神	まもりがみ	mamorigami
昔ばなし	むかしばなし	mukashibanashi
打ち立てる	うちたてる	uchitateru
火消し	ひけし|びけし	hikeshi|bikeshi
だまし取る	だましとる	damashitoru
真っ白い	まっしろい	masshiroi
打ちのめす	うちのめす|ぶちのめす	uchinomesu|buchinomesu
役どころ	やくどとろ|やくどころ	yakudotoro|yakudokoro
和え物	あえもの	aemono
物入れ	ものいれ	monoire
勝ち進む	かちすすむ	kachisusumu
流れ落ちる	ながれおちる	nagareochiru
落っこちる	おっこちる	okkochiru
調う	ととのう	totonou
取りつける	とりつける	toritsukeru
代える	かえる	kaeru
引受け	ひきうけ	hikiuke
秒読み	びょうよみ	byouyomi
目出度い	めでたい	medetai
投げやり	なげやり	nageyari
動きだす	うごきだす	ugokidasu
持ち家	もちいえ|もちや	mochiie|mochiya
横書き	よこがき	yokogaki
物書き	ものかき	monokaki
上向く	うわむく	uwamuku
歯がゆい	はがゆい	hagayui
流れ着く	ながれつく	nagaretsuku
勝ち星	かちぼし	kachiboshi
起つ	たつ|だつ|おこつ	tatsu|datsu|okotsu
遊び人	あそびにん	asobininn
使い古す	つかいふるす	tsukaifurusu
打上げる	うちあげる	uchiageru
どんでん返し	どんでんがえし	donndenngaeshi
打ち上げ花火	うちあげはなび	uchiagehanabi
出っ歯	でっぱ	deppa
速める	はやめる	hayameru
代る	かわる|がわる	kawaru|gawaru
打ち水	うちみず	uchimizu
見て取れる	みてとれる	mitetoreru
仕送り	しおくり	shiokuri
茶化す	ちゃかす	tyakasu
有り様	ありさま|ありよう	arisama|ariyou
乗り上げる	のりあげる	noriageru
日向ぼっこ	ひなたぼっこ	hinatabokko
物申す	ものもうす	monomousu
平が	へいが|たいらが	heiga|tairaga
取り分け	とりわけ	toriwake
こき使う	こきつかう|こきつこう	kokitsukau|kokitsukou
平泳ぎ	ひらおよぎ	hiraoyogi
打ち止め	うちどめ|うちとめ	uchidome|uchitome
根回し	ねまわし	nemawashi
区分け	くわけ	kuwake
にごり酒	にごりざけ	nigorizake
転げ落ちる	ころげおちる	korogeochiru
皮肉る	ひにくる	hinikuru
問える	とえる	toeru
命取り	いのちとり	inochitori
客引き	きゃくひき	kyakuhiki
