掲載	けいさい	keisai
封建	ほうけん	houkenn
辛うじて	かろうじて	karoujite
警鐘	けいしょう	keishou
誘導体	ゆうどうたい	yuudoutai
裁縫	さいほう	saihou
硬貨	こうか	kouka
預託	よたく	yotaku
入籍	にゅうせき	nyuuseki
架橋	かきょう|かけはし	kakyou|kakehashi
気概	きがい	kigai
慌ただしい	あわただしい	awatadashii
誘引	ゆういん	yuuinn
続伸	ぞくしん	zokushinn
潜める	ひそめる	hisomeru
既得	きとく	kitoku
鎮圧	ちんあつ	chinnatsu
孤高	ここう	kokou
引き揚げる	ひきあげる	hikiageru
排尿	はいにょう	hainyou
鎮める	しずめる	shizumeru
乗換える	のりかえる	norikaeru
綱領	こうりょう	kouryou
勇敢	ゆうかん	yuukann
技巧	ぎこう	gikou
華やかさ	はなやかさ	hanayakasa
緊密	きんみつ	kinnmitsu
女帝	にょてい|じょてい	nyotei|jotei
陳腐	ちんぷ	chinnpu
緩み	ゆるみ	yurumi
控え室	ひかえしつ	hikaeshitsu
昇順	しょうじゅん	shoujunn
喫す	きっす	kissu
差し伸べる	さしのべる	sashinoberu
登壇	とうだん	toudann
削ぐ	そぐ	sogu
芳しい	かぐわしい|かんばしい	kaguwashii|kannbashii
双眼鏡	そうがんきょう	sougannkyou
棄権	きけん	kikenn
内分泌	ないぶんぴつ	naibunnpitsu
壁掛け	かべかけ	kabekake
不吉	ふきつ	fukitsu
締約	ていやく	teiyaku
畜生	ちくしょう	chikushou
主軸	しゅじく	shujiku
下請	したうけ	shitauke
冠す	かんす	kannsu
奉公	ほうこう|ぼうこう	houkou|boukou
激辛	げきから	gekikara
死滅	しめつ	shimetsu
昇天	しょうてん	shoutenn
没落	ぼつらく	botsuraku
仕掛	しかけ|じかけ	shikake|jikake
棄てる	すてる	suteru
奪い取る	うばいとる	ubaitoru
翻す	ひるがえす	hirugaesu
尿道	にょうどう	nyoudou
霊魂	れいこん	reikonn
漂着	ひょうちゃく	hyoutyaku
摂理	せつり	setsuri
転換期	てんかんき	tennkannki
水墨	すいぼく	suiboku
排便	はいべん	haibenn
不穏	ふおん	fuonn
凍りつく	こおりつく	kooritsuku
怪盗	かいとう	kaitou
穴埋め	あなうめ	anaume
拘置	こうち	kouchi
埋設	まいせつ	maisetsu
日雇い	ひやとい	hiyatoi
虚弱	きょじゃく	kyojaku
施肥	せひ	sehi
差し掛かる	さしかかる	sashikakaru
生粋	きっすい	kissui
皮膜	ひまく	himaku
浪士	ろうし	roushi
紺色	こんいろ	konniro
概観	がいかん	gaikann
企て	くわだて	kuwadate
禁忌	きんき	kinnki
奇怪	きかい|きっかい	kikai|kikkai
万華鏡	まんげきょう	manngekyou
架け橋	かけはし	kakehashi
憂慮	ゆうりょ	yuuryo
慌しい	あわただしい	awatadashii
暖炉	だんろ	dannro
やり遂げる	やりとげる	yaritogeru
虚無	きょむ|こむ	kyomu|komu
掛金	かけきん|かけがね	kakekinn|kakegane
掛軸	かけじく	kakejiku
急募	きゅうぼ	kyuubo
歌碑	かひ	kahi
譲歩	じょうほ	jouho
隆起	りゅうき	ryuuki
帆船	はんせん|ほぶね	hannsenn|hobune
倣う	ならう|なろう	narau|narou
伸長	しんちょう	shinntyou
求刑	きゅうけい	kyuukei
霊夢	れいむ	reimu
かき揚げ	かきあげ	kakiage
潤む	うるむ	urumu
受刑	じゅけい	jukei
如実	にょじつ	nyojitsu
揺るがす	ゆるがす	yurugasu
酔いしれる	よいしれる	yoishireru
炊事	すいじ	suiji
欺く	あざむく	azamuku
陰湿	いんしつ	innshitsu
見掛け	みかけ	mikake
滅失	めっしつ	messhitsu
偶数	ぐうすう	guusuu
英霊	えいれい	eirei
肝要	かんよう	kannyou
揚げ足	あげあし	ageashi
虚空	こくう	kokuu
聴講	ちょうこう	tyoukou
精巧	せいこう	seikou
一喜一憂	いっきいちゆう	ikkiichiyuu
帝王切開	ていおうせっかい	teiousekkai
公聴	こうちょう	koutyou
封じ込め	ふうじこめ	fuujikome
鎮静	ちんせい	chinnsei
再審	さいしん	saishinn
概説	がいせつ	gaisetsu
養鶏	ようけい	youkei
喜怒哀楽	きどあいらく	kidoairaku
お袋	おふくろ	ofukuro
卑しい	いやしい	iyashii
令嬢	れいじょう	reijou
振り絞る	ふりしぼる	furishiboru
言い換え	いいかえ	iikae
既製	きせい	kisei
凍える	こごえる	kogoeru
伏せる	ふせる|ぶせる	fuseru|buseru
山賊	さんぞく	sannzoku
佳作	かさく	kasaku
終止符	しゅうしふ	shuushifu
凝集	ぎょうしゅう	gyoushuu
紛れ込む	まぎれこむ	magirekomu
空虚	くうきょ	kuukyo
猟奇	りょうき	ryouki
支離滅裂	しりめつれつ	shirimetsuretsu
地鎮祭	じちんさい	jichinnsai
排斥	はいせき	haiseki
征伐	せいばつ	seibatsu
粗大	そだい	sodai
密封	みっぷう	mippuu
王冠	おうかん	oukann
土砂崩れ	どしゃくずれ	doshakuzure
酔っぱらう	よっぱらう	yopparau
育苗	いくびょう	ikubyou
精錬	せいれん	seirenn
慈しむ	いつくしむ	itsukushimu
胞子	ほうし	houshi
諮る	はかる	hakaru
施錠	せじょう	sejou
抑留	よくりゅう	yokuryuu
既設	きせつ	kisetsu
擁する	ようする	yousuru
山伏	やまぶし	yamabushi
多孔	たこう	takou
邪道	じゃどう	jadou
一騎打ち	いっきうち	ikkiuchi
利潤	りじゅん	rijunn
満悦	まんえつ	mannetsu
種苗	しゅびょう	shubyou
湿布	しっぷ	shippu
悲哀	ひあい	hiai
怠ける	なまける	namakeru
実刑	じっけい	jikkei
基軸	きじく	kijiku
一概	いちがい	ichigai
手の甲	てのこう	tenokou
揚がる	あがる	agaru
視聴覚	しちょうかく	shityoukaku
信奉	しんぽう	shinnpou
縦貫	じゅうかん	juukann
誘電	ゆうでん	yuudenn
木漏れ日	こもれび	komorebi
旗揚げ	はたあげ	hataage
掃く	はく|ぱく	haku|paku
駐車場	ちゅうしゃじょう	tyuushajou
募集中	ぼしゅうちゅう	boshuutyuu
魅力的	みりょくてき	miryokuteki
糖尿病	とうにょうびょう	tounyoubyou
開催中	かいさいちゅう	kaisaityuu
実施中	じっしちゅう	jisshityuu
審議会	しんぎかい	shinngikai
視聴率	しちょうりつ	shityouritsu
主催者	しゅさいしゃ	shusaisha
申請書	しんせいしょ	shinnseisho
大企業	だいきぎょう	daikigyou
視聴者	しちょうしゃ	shityousha
緊張感	きんちょうかん	kinntyoukann
契約書	けいやくしょ	keiyakusho
超音波	ちょうおんぱ	tyouonnpa
請求書	せいきゅうしょ	seikyuusho
犠牲者	ぎせいしゃ	giseisha
配偶者	はいぐうしゃ	haiguusha
幻想的	げんそうてき	gennsouteki
基礎的	きそてき	kisoteki
慰安婦	いあんふ	iannfu
保湿	ほしつ	hoshitsu
繁華街	はんかがい	hannkagai
審査員	しんさいん	shinnsainn
免許証	めんきょしょう	mennkyoshou
衝撃的	しょうげきてき	shougekiteki
債権者	さいけんしゃ	saikennsha
地鶏	じどり	jidori
契約者	けいやくしゃ	keiyakusha
閲覧者	えつらんしゃ	etsurannsha
掃除機	そうじき	soujiki
福祉士	ふくしし	fukushishi
企画展	きかくてん	kikakutenn
魔術師	まじゅつし	majutsushi
皮膚炎	ひふえん	hifuenn
審査会	しんさかい	shinnsakai
債務者	さいむしゃ	saimusha
中華街	ちゅうかがい	tyuukagai
寿司屋	すしや	sushiya
措置法	そちほう	sochihou
慰謝料	いしゃりょう	isharyou
各企業	かくきぎょう	kakukigyou
企業名	きぎょうめい	kigyoumei
豚骨	とんこつ	tonnkotsu
携帯用	けいたいよう	keitaiyou
通信簿	つうしんぼ	tsuushinnbo
超能力	ちょうのうりょく	tyounouryoku
泌尿器科	ひにょうきか	hinyoukika
滑走路	かっそうろ	kassouro
抽象的	ちゅうしょうてき	tyuushouteki
施行日	しこうひ	shikouhi
喫煙者	きつえんしゃ	kitsuennsha
応募者	おうぼしゃ	oubosha
原子炉	げんしろ	gennshiro
騎士団	きしだん	kishidann
取締役会	とりしまりやくかい	torishimariyakukai
抽選会	ちゅうせんかい	tyuusennkai
施行令	しこうれい	shikourei
記念碑	きねんひ	kinennhi
申請者	しんせいしゃ	shinnseisha
盗撮	とうさつ	tousatsu
分岐点	ぶんきてん	bunnkitenn
緊急時	きんきゅうじ	kinnkyuuji
炊飯器	すいはんき	suihannki
潜在的	せんざいてき	sennzaiteki
哲学者	てつがくしゃ	tetsugakusha
不審者	ふしんしゃ	fushinnsha
霊能	れいのう	reinou
口内炎	こうないえん	kounaienn
施設内	しせつない	shisetsunai
大虐殺	だいぎゃくさつ	daigyakusatsu
請求権	せいきゅうけん	seikyuukenn
魔人	まじん	majinn
分譲地	ぶんじょうち	bunnjouchi
横軸	よこじく	yokojiku
黒豚	くろぶた	kurobuta
争奪戦	そうだつせん	soudatsusenn
互換性	ごかんせい	gokannsei
多国籍	たこくせき	takokuseki
宴会場	えんかいじょう	ennkaijou
委託先	いたくさき	itakusaki
火葬場	かそうば	kasouba
家計簿	かけいぼ	kakeibo
床暖房	ゆかだんぼう	yukadannbou
幹細胞	かんさいぼう	kannsaibou
哲学的	てつがくてき	tetsugakuteki
没後	ぼつご	botsugo
家族葬	かぞくそう	kazokusou
免震	めんしん	mennshinn
内膜	ないまく	naimaku
摂取量	せっしゅりょう	sesshuryou
登記簿	とうきぼ	toukibo
戦没者	せんぼつしゃ	sennbotsusha
卸売業	おろしうりぎょう	oroshiurigyou
超高層	ちょうこうそう	tyoukousou
粘度	ねんど	nenndo
福祉法	ふくしほう	fukushihou
抑止力	よくしりょく	yokushiryoku
企業内	きぎょうない	kigyounai
託児所	たくじしょ	takujisho
摂食	せっしょく	sesshoku
締約国	ていやくこく	teiyakukoku
魔族	まぞく	mazoku
施行前	しこうまえ	shikoumae
企画書	きかくしょ	kikakusho
排他的	はいたてき	haitateki
企業家	きぎょうか	kigyouka
休憩室	きゅうけいしつ	kyuukeishitsu
排気量	はいきりょう	haikiryou
雇用者	こようしゃ	koyousha
一貫性	いっかんせい	ikkannsei
企業間	きぎょうかん	kigyoukann
魔導	まどう	madou
撮影中	さつえいちゅう	satsueityuu
加湿器	かしつき	kashitsuki
翻訳者	ほんやくしゃ	honnyakusha
霊能者	れいのうしゃ	reinousha
受刑者	じゅけいしゃ	jukeisha
既婚者	きこんしゃ	kikonnsha
超伝導	ちょうでんどう	tyoudenndou
公聴会	こうちょうかい	koutyoukai
陶芸家	とうげいか	tougeika
尿酸	にょうさん	nyousann
葬儀屋	そうぎや	sougiya
