探す	さがす	sagasu
専念	せんねん	sennnenn
相棒	あいぼう	aibou
吸引	きゅういん	kyuuinn
共存	きょうそん|きょうぞん	kyousonn|kyouzonn
星座	せいざ	seiza
乳がん	にゅうがん	nyuugann
個展	こてん	kotenn
降ろす	おろす	orosu
幼少	ようしょう	youshou
就労	しゅうろう	shuurou
退会	たいかい	taikai
痛感	つうかん	tsuukann
専業	せんぎょう	senngyou
言論	げんろん	gennronn
論点	ろんてん	ronntenn
現存	げんそん|げんぞん	gennsonn|gennzonn
劇的	げきてき	gekiteki
特権	とっけん	tokkenn
情報処理	じょうほうしょり	jouhoushori
値する	あたいする	ataisuru
夕暮れ	ゆうぐれ	yuugure
至り	いたり	itari
奏でる	かなでる	kanaderu
訳す	やくす	yakusu
皇后	こうごう	kougou
映す	うつす	utsusu
閉まる	しまる	shimaru
退場	たいじょう	taijou
日系	にっけい	nikkei
乱暴	らんぼう	rannbou
暮らせる	くらせる	kuraseru
敗退	はいたい	haitai
利権	りけん	rikenn
骨格	こっかく	kokkaku
灰色	はいいろ	haiiro
補完	ほかん	hokann
土砂	どしゃ	dosha
盛大	せいだい	seidai
非常勤	ひじょうきん	hijoukinn
容認	ようにん	youninn
従前	じゅうぜん	juuzenn
裏面	りめん|うらめん	rimenn|uramenn
海域	かいいき	kaiiki
痛める	いためる|やめる	itameru|yameru
断層	だんそう	dannsou
血糖	けっとう	kettou
奏者	そうしゃ	sousha
専務	せんむ	sennmu
電磁	でんじ	dennji
乳幼児	にゅうようじ	nyuuyouji
届け出	とどけで|とどけいで	todokede|todokeide
除ける	のける|のぞける|よける	nokeru|nozokeru|yokeru
供述	きょうじゅつ	kyoujutsu
敬意	けいい	keii
頭脳	ずのう	zunou
開閉	かいへい	kaihei
激減	げきげん	gekigenn
根源	こんげん	konngenn
母乳	ぼにゅう	bonyuu
探訪	たんぼう	tannbou
並行	へいこう	heikou
方策	ほうさく	housaku
専有	せんゆう	sennyuu
源流	げんりゅう	gennryuu
値引き	ねびき	nebiki
延ばす	のばす	nobasu
省庁	しょうちょう	shoutyou
党首	とうしゅ	toushu
片道	かたみち	katamichi
語源	ごげん	gogenn
探査	たんさ	tannsa
段差	だんさ	dannsa
格段	かくだん	kakudann
密接	みっせつ	missetsu
探求	たんきゅう|さがしもとめ	tannkyuu|sagashimotome
収縮	しゅうしゅく	shuushuku
新党	しんとう	shinntou
果樹	かじゅ	kaju
賃借	ちんしゃく|ちんがり	chinnshaku|chinngari
無論	むろん	muronn
辞退	じたい	jitai
誠意	せいい	seii
背筋	せすじ|はいきん	sesuji|haikinn
腹部	ふくぶ	fukubu
自我	じが	jiga
接骨	せっこつ	sekkotsu
来訪	らいほう	raihou
映し出す	うつしだす	utsushidasu
神聖	しんせい	shinnsei
傷み	いたみ	itami
新株	しんかぶ	shinnkabu
内訳	うちわけ	uchiwake
文系	ぶんけい	bunnkei
裏切り	うらぎり	uragiri
延べ	のべ	nobe
蒸し暑い	むしあつい|むしあちい	mushiatsui|mushiachii
夜勤	やきん	yakinn
無敵	むてき	muteki
就学	しゅうがく	shuugaku
機密	きみつ	kimitsu
若年	じゃくねん	jakunenn
晩年	ばんねん	bannnenn
洗車	せんしゃ	sennsha
勤労	きんろう	kinnrou
動詞	どうし	doushi
電磁波	でんじは	dennjiha
熟練	じゅくれん	jukurenn
一段と	いちだんと	ichidannto
家系	かけい	kakei
復刻	ふっこく	fukkoku
一筋	ひとすじ	hitosuji
厳重	げんじゅう	gennjuu
税務署	ぜいむしょ	zeimusho
深層	しんそう	shinnsou
有権者	ゆうけんしゃ	yuukennsha
切除	せつじょ	setsujo
創建	そうけん	soukenn
穀物	こくもつ	kokumotsu
外装	がいそう	gaisou
手洗い	てあらい	tearai
異例	いれい	irei
若返る	わかがえる	wakagaeru
使い捨て	つかいすて	tsukaisute
一刻	いっこく	ikkoku
割り切る	わりきる	warikiru
簡潔	かんけつ	kannketsu
必至	ひっし	hisshi
腹筋	はらすじ|ふっきん	harasuji|fukkinn
分権	ぶんけん	bunnkenn
至福	しふく	shifuku
吸着	きゅうちゃく	kyuutyaku
女装	じょそう	josou
割り当て	わりあて	wariate
敵対	てきたい	tekitai
圧巻	あっかん	akkann
本誌	ほんし	honnshi
見捨てる	みすてる	misuteru
専属	せんぞく	sennzoku
刻み	きざみ	kizami
染み	しみ|じみ|そみ	shimi|jimi|somi
降臨	こうりん	kourinn
有難い	ありがたい	arigatai
担ぐ	かつぐ	katsugu
梅干	うめぼし	umeboshi
反乱	はんらん	hannrann
専任	せんにん	sennninn
毎晩	まいばん	maibann
宝庫	ほうこ	houko
拝む	おがむ	ogamu
鉄鋼	てっこう	tekkou
生誕	せいたん	seitann
済ます	すます	sumasu
筋力	きんりょく	kinnryoku
温泉郷	おんせんきょう	onnsennkyou
防除	ぼうじょ	boujo
片づける	かたづける	katadukeru
直射	ちょくしゃ	tyokusha
満腹	まんぷく	mannpuku
値上がり	ねあがり	neagari
呼び出す	よびだす	yobidasu
外傷	がいしょう	gaishou
車窓	しゃそう	shasou
特派	とくは	tokuha
下降	かこう	kakou
聖なる	せいなる	seinaru
亡き	なき	naki
難関	なんかん	nannkann
亡くす	なくす	nakusu
歌劇	かげき	kageki
授乳	じゅにゅう	junyuu
退く	しりぞく|どく|のく|びく|ひく	shirizoku|doku|noku|biku|hiku
座談	ざだん	zadann
行き届く	いきとどく|ゆきとどく	ikitodoku|yukitodoku
空腹	くうふく	kuufuku
縦走	じゅうそう	juusou
閉ざす	とざす	tozasu
厳格	げんかく	gennkaku
鉄骨	てっこつ	tekkotsu
乳児	にゅうじ	nyuuji
難点	なんてん	nanntenn
蒸留	じょうりゅう	jouryuu
観劇	かんげき	kanngeki
官庁	かんちょう	kanntyou
異国	いこく	ikoku
格納	かくのう	kakunou
磁石	じしゃく	jishaku
別冊	べっさつ	bessatsu
至高	しこう	shikou
閣議	かくぎ	kakugi
賛否	さんぴ	sannpi
切り捨て	きりすて	kirisute
激戦	げきせん	gekisenn
座長	ざちょう	zatyou
仏閣	ぶっかく	bukkaku
宗派	しゅうは	shuuha
熟語	じゅくご	jukugo
否める	いなめる	inameru
干物	ひもの|ほしもの	himono|hoshimono
推す	おす|すいす	osu|suisu
水系	すいけい	suikei
腹痛	はらいた|ふくつう	haraita|fukutsuu
伝染	でんせん	dennsenn
常勤	じょうきん	joukinn
善意	ぜんい	zenni
風潮	ふうちょう	fuutyou
操業	そうぎょう	sougyou
障子	しょうじ	shouji
片側	かたがわ	katagawa
お供	おとも	otomo
降下	こうか	kouka
正論	せいろん	seironn
重傷	じゅうしょう|おもで	juushou|omode
派生	はせい	hasei
断片	だんぺん	dannpenn
脳裏	のうり	nouri
書簡	しょかん	shokann
敬遠	けいえん	keienn
潮流	ちょうりゅう	tyouryuu
宣告	せんこく	sennkoku
同署	どうしょ	dousho
洗い流す	あらいながす	arainagasu
財務諸表	ざいむしょひょう	zaimushohyou
胸元	むなもと	munamoto
可視	かし	kashi
除雪	じょせつ	josetsu
蔵書	ぞうしょ	zousho
砂利	じゃり	jari
大盛り	おおもり	oomori
貴金属	ききんぞく	kikinnzoku
皇族	こうぞく	kouzoku
敬老	けいろう	keirou
全巻	ぜんかん	zennkann
背番号	せばんごう	sebanngou
石段	いしだん	ishidann
上層	じょうそう	jousou
秘伝	ひでん	hidenn
飛び降りる	とびおりる	tobioriru
暮し	くらし|ぐらし	kurashi|gurashi
呼び名	よびな	yobina
異論	いろん	ironn
供する	きょうする	kyousuru
延び	のび	nobi
値打ち	ねうち	neuchi
誤字	ごじ	goji
居宅	きょたく	kyotaku
変異	へんい	henni
敬語	けいご	keigo
盛り合わせ	もりあわせ	moriawase
紅い	あかい	akai
官公庁	かんこうちょう	kannkoutyou
一段落	いちだんらく|ひとだんらく	ichidannraku|hitodannraku
消防署	しょうぼうしょ	shoubousho
異変	いへん	ihenn
異物	いぶつ|こともの	ibutsu|kotomono
届ける	とどける	todokeru
独創	どくそう	dokusou
会派	かいは	kaiha
背面	はいめん	haimenn
担い手	にないて	ninaite
黒糖	こくとう	kokutou
共著	きょうちょ	kyoutyo
忠告	ちゅうこく	tyuukoku
射程	しゃてい	shatei
座標	ざひょう	zahyou
洗える	あらえる	araeru
難病	なんびょう	nannbyou
退社	たいしゃ	taisha
尊厳	そんげん	sonngenn
天皇陛下	てんのうへいか	tennnouheika
生き延びる	いきのびる	ikinobiru
遺構	いこう	ikou
卵巣	らんそう	rannsou
和装	わそう	wasou
尊い	たっとい|とうとい	tattoi|toutoi
遊覧	ゆうらん	yuurann
優勢	ゆうせい	yuusei
可否	かひ	kahi
高裁	こうさい	kousai
刻印	こくいん	kokuinn
勤める	つとめる	tsutomeru
乱入	らんにゅう	rannnyuu
段取り	だんどり	danndori
蒸発	じょうはつ	jouhatsu
割安	わりやす	wariyasu
厳禁	げんきん	gennkinn
完熟	かんじゅく	kannjuku
呼ばわり	よばわり	yobawari
縮む	ちぢむ	chidimu
協奏曲	きょうそうきょく	kyousoukyoku
散乱	さんらん	sannrann
収束	しゅうそく	shuusoku
難解	なんかい	nannkai
裏付け	うらづけ	uraduke
退去	たいきょ	taikyo
王座	おうざ	ouza
模試	もし	moshi
残存	ざんそん|ざんぞん	zannsonn|zannzonn
税収	ぜいしゅう	zeishuu
座布団	ざぶとん	zabutonn
簡素	かんそ	kannso
喜劇	きげき	kigeki
探り	さぐり	saguri
従軍	じゅうぐん	juugunn
一段	いちだん|いったん	ichidann|ittann
暖める	あたためる	atatameru
一寸	いっすん|ちょっと	issunn|tyotto
亡命	ぼうめい	boumei
裏話	うらばなし	urabanashi
閣下	かっか|こうか	kakka|kouka
脳みそ	のうみそ	noumiso
土俵	どひょう	dohyou
鉄筋	てっきん	tekkinn
小銭	こぜに	kozeni
土下座	どげざ	dogeza
降水	こうすい	kousui
納車	のうしゃ	nousha
激化	げきか|げっか	gekika|gekka
沿革	えんかく	ennkaku
閉会	へいかい	heikai
社宅	しゃたく	shataku
除草	じょそう	josou
落とし穴	おとしあな	otoshiana
預言	よげん	yogenn
私服	しふく	shifuku
高専	こうせん	kousenn
干支	えと|かんし	eto|kannshi
代名詞	だいめいし	daimeishi
降格	こうかく	koukaku
火傷	かしょう|やけど	kashou|yakedo
新装	しんそう	shinnsou
裏表	うらおもて	uraomote
裁く	さばく	sabaku
