綺麗	きれい|ぎれい	kirei|girei
弛み	ゆるみ|たるみ|たゆみ|だるみ	yurumi|tarumi|tayumi|darumi
蝶結び	ちょうむすび	tyoumusubi
丸儲け	まるもうけ	marumouke
呑み屋	のみや	nomiya
取揃える	とりそろえる	torisoroeru
聞き惚れる	ききほれる	kikihoreru
蒼白い	あおじろい	aojiroi
糊付け	のりづけ	noriduke
漕げる	こげる	kogeru
撫ぜる	なぜる	nazeru
紙漉き	かみすき	kamisuki
お釈迦	おしゃか	oshaka
聡い	さとい	satoi
むず痒い	むずがゆい	muzugayui
こし餡	こしあん	koshiann
掻き出す	かきだす	kakidasu
掴まえる	つかまえる	tsukamaeru
当て嵌る	あてはまる	atehamaru
鵜飼い	うかい	ukai
這いつくばう	はいつくばう	haitsukubau
甲斐甲斐しい	かいがいしい	kaigaishii
嵩上げ	かさあげ	kasaage
宙吊り	ちゅうづり	tyuuduri
漕ぎ着ける	こぎつける	kogitsukeru
狡い	こすい|ずるい|こしい|ずりい	kosui|zurui|koshii|zurii
馴れ初め	なれそめ	naresome
嵌め込む	はめこむ	hamekomu
擽る	くすぐる|こそぐる	kusuguru|kosoguru
叩き上げる	たたきあげる	tatakiageru
縺れる	もつれる	motsureru
掴みかかる	つかみかかる	tsukamikakaru
貰い物	もらいもの	moraimono
付き纏う	つきまとう	tsukimatou
代掻き	しろかき	shirokaki
浚う	さらう|さろう	sarau|sarou
掻き毟る	かきむしる	kakimushiru
汲める	くめる	kumeru
叩き台	たたきだい	tatakidai
蕗の薹	ふきのとう	fukinotou
憑き物	つきもの	tsukimono
元の木阿弥	もとのもくあみ	motonomokuami
輿入れ	こしいれ	koshiire
掻き集める	かきあつめる	kakiatsumeru
姦しい	かしましい	kashimashii
轢き殺す	ひきころす	hikikorosu
訝る	いぶかる	ibukaru
亙る	わたる	wataru
惚れこむ	ほれこむ	horekomu
穢い	きたない|ぎたない	kitanai|gitanai
軋る	きしる|ぎしる	kishiru|gishiru
呆れ返る	あきれかえる	akirekaeru
焙る	あぶる	aburu
謗る	そしる	soshiru
灯篭流し	とうろうながし	tourounagashi
衒う	てらう|てろう	terau|terou
嵩張る	かさばる	kasabaru
足掻き	あがき	agaki
寝惚ける	ねとぼける|ねぼける	netobokeru|nebokeru
揉みほぐす	もみほぐす	momihogusu
青天の霹靂	せいてんのへきれき	seitennnohekireki
賑わす	にぎわす	nigiwasu
歯噛み	はがみ	hagami
翳る	かげる	kageru
窘める	たしなめる	tashinameru
賑やかす	にぎやかす	nigiyakasu
掻き混ぜる	かきまぜる	kakimazeru
綴れ	つづれ	tsudure
呑み込み	のみこみ	nomikomi
耀く	かがやく	kagayaku
疚しい	やましい	yamashii
澱み	よどみ|おどみ	yodomi|odomi
掻きむしる	かきむしる	kakimushiru
熾す	おこす	okosu
横這い	よこばい	yokobai
擂る	する	suru
錆び付く	さびつく	sabitsuku
嬉し涙	うれしなみだ	ureshinamida
撓む	たわむ	tawamu
溯る	さかのぼる	sakanoboru
見廻す	みまわす	mimawasu
掻き消える	かききえる	kakikieru
捌ける	さばける|はける	sabakeru|hakeru
読み耽る	よみふける	yomifukeru
綴じ込む	とじこむ	tojikomu
楯突く	たてつく	tatetsuku
呑みこむ	のみこむ	nomikomu
遅れ馳せ	おくればせ	okurebase
舁く	かく	kaku
たらば蟹	たらばがに	tarabagani
薙ぎ倒す	なぎたおす	nagitaosu
雛まつり	ひなまつり	hinamatsuri
遊び呆ける	あそびほうける	asobihoukeru
取り纏める	とりまとめる	torimatomeru
錆止め	さびどめ	sabidome
綴じる	とじる	tojiru
お伽噺	おとぎばなし	otogibanashi
捌け口	さばけぐち|はけぐち	sabakeguchi|hakeguchi
恙無い	つつがない	tsutsuganai
貰い手	もらいて	moraite
数珠繋ぎ	じゅずつなぎ	juzutsunagi
焚き付ける	たきつける	takitsukeru
焚きつける	たきつける	takitsukeru
燕返し	つばめがえし	tsubamegaeshi
汲み出す	くみだす	kumidasu
腋の下	わきのした	wakinoshita
草臥れる	くたびれる	kutabireru
持て囃す	もてはやす	motehayasu
焙じ茶	ほうじちゃ	houjitya
昏れる	くれる	kureru
撰ぶ	えらぶ	erabu
狐の嫁入り	きつねのよめいり	kitsunenoyomeiri
昂る	たかぶる	takaburu
臥せる	ふせる	fuseru
紐付き	ひもつき	himotsuki
雪掻き	ゆきかき	yukikaki
狼狽える	うろたえる	urotaeru
轢き逃げ	ひきにげ	hikinige
糺す	ただす	tadasu
篩う	ふるう	furuu
聊か	いささか	isasaka
嗄れる	かれる|しゃがれる|しわがれる	kareru|shagareru|shiwagareru
褪める	さめる	sameru
