自分	じぶん	jibunn
高まる	たかまる	takamaru
読売	よみうり	yomiuri
楽園	らくえん	rakuenn
高まり	たかまり	takamari
活力	かつりょく	katsuryoku
北西	ほくせい	hokusei
中元	ちゅうげん	tyuugenn
明後日	みょうごにち|あさって	myougonichi|asatte
切ない	せつない	setsunai
上方	かみがた|じょうほう	kamigata|jouhou
帰り道	かえりみち	kaerimichi
売店	ばいてん	baitenn
大社	たいしゃ	taisha
黒人	こくじん	kokujinn
公社	こうしゃ	kousha
強風	きょうふう	kyoufuu
通す	とおす|どおす	toosu|doosu
国交	こっこう	kokkou
書道	しょどう	shodou
山間	さんかん|やまあい	sannkann|yamaai
書ける	かける	kakeru
金色	きんいろ|こんじき	kinniro|konnjiki
作文	さくぶん	sakubunn
一夜	ひとよ|いちや	hitoyo|ichiya
前線	ぜんせん	zennsenn
風水	ふうすい	fuusui
弱点	じゃくてん	jakutenn
入園	にゅうえん	nyuuenn
丸い	まるい|まりい	marui|marii
手首	てくび	tekubi
当分	とうぶん	toubunn
手書き	てがき|てかき	tegaki|tekaki
外す	はずす	hazusu
小池	こいけ	koike
気合い	きあい	kiai
光学	こうがく	kougaku
土台	どだい	dodai
当てる	あてる	ateru
台場	だいば	daiba
活気	かっき	kakki
船長	せんちょう	senntyou
父母	ちちはは|ふぼ	chichihaha|fubo
思いやり	おもいやり	omoiyari
古来	こらい	korai
本数	ほんすう	honnsuu
東口	ひがしぐち	higashiguchi
万一	まんいち	mannichi
合体	がったい	gattai
星空	ほしぞら	hoshizora
月間	げっかん	gekkann
間に合う	まにあう|まにおう	maniau|maniou
古書	こしょ	kosho
見合い	みあい	miai
分ける	わける	wakeru
大作	たいさく	taisaku
細か	こまか	komaka
新田	しんでん|しんた	shinndenn|shinnta
直行	ちょっこう	tyokkou
当り	あたり	atari
母さん	かあさん	kaasann
通算	つうさん	tsuusann
小鳥	ことり	kotori
遠方	えんぽう	ennpou
風土	ふうど|ふど	fuudo|fudo
白色	しろいろ|はくしょく	shiroiro|hakushoku
王朝	おうちょう	outyou
年内	ねんない	nennnai
組む	くむ	kumu
半日	はんじつ|はんにち	hannjitsu|hannnichi
多大	ただい	tadai
高台	たかだい	takadai
学長	がくちょう	gakutyou
谷川	たにがわ	tanigawa
半数	はんすう	hannsuu
南国	なんごく	nanngoku
晴天	せいてん	seitenn
北方	ほっぽう	hoppou
道のり	みちのり	michinori
土方	どかた	dokata
黒字	くろじ	kuroji
明かり	あかり	akari
細工	さいく|ざいく	saiku|zaiku
合金	ごうきん	goukinn
大家	おおや|たいか|たいけ	ooya|taika|taike
行ない	おこない	okonai
天地	てんち|あめつち	tennchi|ametsuchi
夜空	よぞら	yozora
地道	じみち	jimichi
行える	おこなえる	okonaeru
自家	じか	jika
算数	さんすう	sannsuu
昼休み	ひるやすみ	hiruyasumi
国王	こくおう	kokuou
草原	そうげん|くさはら	sougenn|kusahara
書記	しょき	shoki
強行	きょうこう	kyoukou
北口	きたぐち	kitaguchi
下地	したじ	shitaji
南口	みなみぐち	minamiguchi
赤色	あかいろ|せきしょく	akairo|sekishoku
一色	いっしょく	isshoku
夏場	なつば	natsuba
番外	ばんがい	banngai
家内	かない|やうち	kanai|yauchi
目前	もくぜん	mokuzenn
力強い	ちからづよい	chikaraduyoi
手当て	てあて	teate
鳴る	なる	naru
山地	さんち	sannchi
古川	ふるかわ	furukawa
時空	じくう	jikuu
内心	ないしん	naishinn
山内	さんない	sannnai
南東	なんとう	nanntou
内野	ないや	naiya
食後	しょくご	shokugo
田園	でんえん	dennenn
中原	ちゅうげん	tyuugenn
王道	おうどう	oudou
風船	ふうせん	fuusenn
直売	ちょくばい	tyokubai
国体	こくたい	kokutai
食用	しょくよう	shokuyou
今さら	いまさら	imasara
直通	ちょくつう	tyokutsuu
出馬	しゅつば	shutsuba
分科	ぶんか	bunnka
父さん	とうさん	tousann
鳴き声	なきごえ	nakigoe
手形	てがた	tegata
用水	ようすい	yousui
活かす	いかす	ikasu
足場	あしば	ashiba
名門	めいもん	meimonn
大雪	おおゆき|たいせつ	ooyuki|taisetsu
口元	くちもと	kuchimoto
白黒	しろくろ	shirokuro
水色	みずいろ|すいしょく	mizuiro|suishoku
夜行	やこう	yakou
水曜	すいよう	suiyou
天体	てんたい	tenntai
木工	もっこう|もく	mokkou|moku
母校	ぼこう	bokou
新入	しんにゅう	shinnnyuu
合コン	ごうこん	goukonn
作画	さくが	sakuga
